timestamp,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),is_day (),sunshine_duration (s),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²)
2021-12-14T10:00,23.2,76,18.6,26.1,0.00,0.00,0,1017.8,982.3,0,0,0,0,0.69,1.8,2.6,349,344,1,3600.00,489.0,400.0,89.0,775.4
2021-12-14T11:00,24.6,69,18.7,28.1,0.00,0.00,0,1017.1,981.8,0,0,0,0,0.94,1.4,1.8,90,79,1,3600.00,626.0,521.0,105.0,808.6
2021-12-14T12:00,26.0,62,18.2,29.7,0.00,0.00,0,1015.6,980.5,6,7,0,0,1.27,1.6,1.6,153,153,1,3600.00,690.0,552.0,138.0,766.4
2021-12-14T13:00,26.8,57,17.7,30.4,0.00,0.00,1,1014.0,979.1,44,21,41,0,1.51,2.2,2.2,81,90,1,3600.00,728.0,610.0,118.0,826.1
2021-12-14T14:00,27.0,56,17.5,29.9,0.00,0.00,1,1012.8,977.9,21,6,10,32,1.57,2.5,2.5,82,82,1,3600.00,642.0,512.0,130.0,733.9
2021-12-14T15:00,26.9,56,17.3,29.4,0.00,0.00,0,1012.0,977.1,19,0,0,62,1.57,0.7,0.7,180,180,1,3600.00,492.0,334.0,158.0,556.1
2021-12-14T16:00,26.8,56,17.2,29.0,0.00,0.00,1,1011.7,976.8,23,0,0,77,1.56,2.9,3.3,180,186,1,3600.00,406.0,313.0,93.0,689.4
2021-12-14T17:00,25.3,71,19.7,28.4,0.00,0.00,1,1011.7,976.7,30,0,0,100,0.93,4.3,7.9,185,180,1,3600.00,209.0,144.0,65.0,537.7
2021-12-14T18:00,21.9,82,18.7,24.1,0.00,0.00,1,1012.2,976.7,28,0,0,94,0.47,7.4,8.4,223,187,0,1262.11,37.0,19.0,18.0,159.8
2021-12-14T19:00,23.5,68,17.3,25.5,0.00,0.00,0,1012.6,977.3,1,0,1,2,0.92,4.4,6.6,235,167,0,0.00,0.0,0.0,0.0,0.0
2021-12-14T20:00,22.6,72,17.2,24.6,0.00,0.00,0,1013.4,978.0,0,0,0,0,0.78,3.2,3.2,297,207,0,0.00,0.0,0.0,0.0,0.0
2021-12-14T21:00,20.8,79,17.0,22.7,0.00,0.00,0,1014.1,978.4,0,0,0,0,0.52,3.6,4.7,315,279,0,0.00,0.0,0.0,0.0,0.0
2021-12-14T22:00,20.9,78,16.9,22.9,0.00,0.00,0,1014.8,979.1,0,0,0,0,0.55,2.5,2.3,352,342,0,0.00,0.0,0.0,0.0,0.0
2021-12-14T23:00,19.8,84,17.0,21.6,0.00,0.00,0,1014.9,979.1,0,0,0,0,0.37,4.6,3.6,18,53,0,0.00,0.0,0.0,0.0,0.0
2021-12-15T00:00,18.2,92,16.8,19.9,0.00,0.00,0,1014.7,978.7,0,0,0,0,0.18,4.7,5.1,356,51,0,0.00,0.0,0.0,0.0,0.0
2021-12-15T01:00,17.1,94,16.2,18.7,0.00,0.00,0,1014.3,978.2,0,0,0,0,0.11,3.6,2.5,323,8,0,0.00,0.0,0.0,0.0,0.0
2021-12-15T02:00,17.1,93,15.9,18.3,0.00,0.00,0,1013.7,977.6,0,0,0,0,0.14,5.0,6.0,330,335,0,0.00,0.0,0.0,0.0,0.0
2021-12-15T03:00,16.7,92,15.4,17.6,0.00,0.00,0,1013.5,977.4,0,0,0,0,0.15,6.3,5.5,336,349,0,0.00,0.0,0.0,0.0,0.0
2021-12-15T04:00,16.7,91,15.2,17.7,0.00,0.00,0,1013.4,977.3,0,0,0,0,0.18,4.9,4.4,343,351,0,0.00,0.0,0.0,0.0,0.0
2021-12-15T05:00,16.6,89,14.9,17.4,0.00,0.00,0,1013.5,977.4,0,0,0,0,0.20,5.6,4.8,315,297,0,0.00,0.0,0.0,0.0,0.0
2021-12-15T06:00,16.4,89,14.6,17.2,0.00,0.00,0,1013.9,977.7,0,0,0,0,0.20,5.0,3.7,330,281,0,0.00,0.0,0.0,0.0,0.0
2021-12-15T07:00,15.2,95,14.4,15.9,0.00,0.00,0,1015.0,978.6,19,0,0,63,0.09,5.2,4.3,335,318,1,0.00,1.0,0.0,1.0,0.0
2021-12-15T08:00,18.3,88,16.3,19.8,0.00,0.00,1,1015.8,979.8,24,0,0,81,0.25,4.8,6.1,318,310,1,2871.48,92.0,56.0,36.0,351.8
2021-12-15T09:00,20.8,81,17.4,23.1,0.00,0.00,1,1016.5,980.8,22,0,0,72,0.48,2.3,3.6,309,307,1,3600.00,296.0,226.0,70.0,661.5
2021-12-15T10:00,22.7,76,18.2,25.5,0.00,0.00,0,1016.6,981.1,2,0,0,5,0.68,1.3,1.8,326,323,1,3600.00,490.0,405.0,85.0,787.7
2021-12-15T11:00,24.5,70,18.6,28.2,0.00,0.00,0,1016.0,980.7,0,0,0,0,0.93,0.8,1.1,333,342,1,3600.00,642.0,547.0,95.0,850.7
2021-12-15T12:00,25.9,65,18.9,30.2,0.00,0.00,0,1014.7,979.6,4,0,0,12,1.16,1.1,1.1,108,90,1,3600.00,729.0,625.0,104.0,868.9
2021-12-15T13:00,26.8,60,18.5,30.9,0.00,0.00,1,1013.1,978.2,29,0,0,95,1.39,2.6,2.6,164,164,1,3600.00,749.0,640.0,109.0,867.3
2021-12-15T14:00,27.5,52,16.8,30.8,0.00,0.00,1,1012.0,977.2,26,0,1,84,1.76,1.6,1.6,153,153,1,3600.00,717.0,622.0,95.0,891.7
2021-12-15T15:00,27.7,49,16.1,29.3,0.00,0.00,1,1010.9,976.2,29,0,3,90,1.89,4.9,5.5,126,122,1,3600.00,588.0,489.0,99.0,813.6
2021-12-15T16:00,26.8,57,17.5,28.5,0.00,0.00,1,1010.5,975.7,31,0,4,95,1.52,7.0,9.4,145,148,1,3600.00,396.0,304.0,92.0,668.4
2021-12-15T17:00,25.2,75,20.4,28.8,0.00,0.00,1,1010.7,975.7,27,0,0,91,0.81,2.9,7.8,173,167,1,3600.00,210.0,151.0,59.0,561.5
2021-12-15T18:00,25.2,62,17.5,27.2,0.00,0.00,1,1011.1,976.1,30,0,5,91,1.20,4.0,3.9,243,214,0,1484.01,38.0,21.0,17.0,175.7
2021-12-15T19:00,24.4,64,17.2,26.3,0.00,0.00,1,1011.4,976.3,25,0,0,82,1.10,4.5,4.7,194,180,0,0.00,0.0,0.0,0.0,0.0
2021-12-15T20:00,21.9,75,17.2,23.4,0.00,0.00,0,1012.3,976.8,1,0,0,4,0.66,7.3,8.6,200,178,0,0.00,0.0,0.0,0.0,0.0
2021-12-15T21:00,23.4,63,16.0,25.1,0.00,0.00,0,1012.9,977.6,0,0,0,0,1.07,2.5,4.7,278,212,0,0.00,0.0,0.0,0.0,0.0
2021-12-15T22:00,21.6,72,16.3,23.3,0.00,0.00,0,1013.6,978.1,0,0,0,0,0.72,3.3,1.4,13,360,0,0.00,0.0,0.0,0.0,0.0
2021-12-15T23:00,20.1,80,16.5,21.8,0.00,0.00,0,1013.9,978.2,0,0,0,0,0.48,4.0,2.2,355,360,0,0.00,0.0,0.0,0.0,0.0
2021-12-16T00:00,17.9,90,16.2,19.0,0.00,0.00,0,1013.7,977.7,0,0,0,0,0.21,7.1,7.6,345,357,0,0.00,0.0,0.0,0.0,0.0
2021-12-16T01:00,17.4,90,15.8,18.4,0.00,0.00,0,1013.8,977.8,2,0,0,8,0.19,6.8,9.5,335,351,0,0.00,0.0,0.0,0.0,0.0
2021-12-16T02:00,17.2,89,15.4,18.2,0.00,0.00,0,1013.5,977.4,0,0,0,0,0.21,6.0,10.5,327,333,0,0.00,0.0,0.0,0.0,0.0
2021-12-16T03:00,16.8,89,15.1,17.7,0.00,0.00,0,1012.8,976.7,0,0,0,0,0.20,5.5,10.8,328,330,0,0.00,0.0,0.0,0.0,0.0
2021-12-16T04:00,16.7,89,14.8,17.5,0.00,0.00,0,1012.6,976.5,0,0,0,0,0.22,5.4,11.6,323,324,0,0.00,0.0,0.0,0.0,0.0
2021-12-16T05:00,16.3,89,14.4,17.0,0.00,0.00,0,1012.9,976.7,0,0,0,0,0.21,5.1,10.9,321,316,0,0.00,0.0,0.0,0.0,0.0
2021-12-16T06:00,15.7,90,14.0,16.2,0.00,0.00,0,1013.3,977.1,16,0,0,53,0.19,5.4,8.2,323,308,0,0.00,0.0,0.0,0.0,0.0
2021-12-16T07:00,15.2,93,14.1,15.8,0.00,0.00,0,1015.1,978.7,19,0,0,64,0.12,4.8,9.4,333,328,1,0.00,1.0,0.0,1.0,0.0
2021-12-16T08:00,17.9,88,15.8,19.2,0.00,0.00,0,1016.0,979.9,12,1,0,38,0.26,4.6,8.4,315,317,1,2838.75,92.0,58.0,34.0,366.6
2021-12-16T09:00,20.4,79,16.6,22.3,0.00,0.00,0,1016.8,981.0,0,0,0,0,0.51,2.6,5.1,326,321,1,3600.00,295.0,226.0,69.0,665.1
2021-12-16T10:00,22.5,74,17.7,24.9,0.00,0.00,0,1016.9,981.4,0,0,0,0,0.70,2.6,3.7,326,331,1,3600.00,490.0,403.0,87.0,786.3
2021-12-16T11:00,24.7,68,18.3,27.7,0.00,0.00,0,1016.0,980.7,0,0,0,0,1.01,4.4,5.8,325,330,1,3600.00,645.0,550.0,95.0,857.1
2021-12-16T12:00,26.5,60,18.1,30.1,0.00,0.00,0,1014.7,979.7,0,0,0,0,1.39,4.1,5.2,322,326,1,3600.00,737.0,637.0,100.0,886.7
2021-12-16T13:00,27.7,53,17.2,31.3,0.00,0.00,0,1013.2,978.4,4,0,0,13,1.74,2.0,2.8,315,320,1,3600.00,760.0,659.0,101.0,893.6
2021-12-16T14:00,28.3,51,17.1,31.7,0.00,0.00,0,1011.9,977.2,0,0,0,0,1.90,1.1,1.5,270,284,1,3600.00,710.0,610.0,100.0,874.4
2021-12-16T15:00,28.5,49,16.8,31.0,0.00,0.00,0,1011.1,976.4,0,0,0,0,1.97,0.8,0.8,243,243,1,3600.00,595.0,502.0,93.0,834.6
2021-12-16T16:00,28.2,50,16.9,30.5,0.00,0.00,0,1011.0,976.3,3,0,0,11,1.90,1.3,1.3,146,146,1,3600.00,426.0,344.0,82.0,754.9
2021-12-16T17:00,26.8,60,18.3,29.3,0.00,0.00,0,1011.4,976.5,5,1,0,14,1.42,3.4,4.2,148,160,1,3600.00,224.0,165.0,59.0,610.8
2021-12-16T18:00,25.1,66,18.3,27.4,0.00,0.00,0,1011.7,976.6,1,0,0,3,1.08,5.1,7.1,184,150,0,1562.55,39.0,22.0,17.0,183.0
2021-12-16T19:00,24.0,70,18.1,26.3,0.00,0.00,1,1012.2,977.0,28,0,0,92,0.91,4.1,7.2,195,143,0,0.00,0.0,0.0,0.0,0.0
2021-12-16T20:00,22.9,73,17.9,25.6,0.00,0.00,1,1013.0,977.6,20,0,0,68,0.74,1.5,2.3,346,129,0,0.00,0.0,0.0,0.0,0.0
2021-12-16T21:00,19.7,86,17.2,21.2,0.00,0.00,1,1013.6,977.8,22,0,0,74,0.33,6.8,3.3,342,354,0,0.00,0.0,0.0,0.0,0.0
2021-12-16T22:00,19.4,84,16.5,20.5,0.00,0.00,1,1014.3,978.5,25,0,0,82,0.37,7.9,6.0,336,343,0,0.00,0.0,0.0,0.0,0.0
2021-12-16T23:00,18.4,84,15.7,19.2,0.00,0.00,1,1014.7,978.7,24,0,0,81,0.34,7.9,7.6,336,329,0,0.00,0.0,0.0,0.0,0.0
2021-12-17T00:00,17.9,83,15.0,18.5,0.00,0.00,1,1015.2,979.2,27,0,0,90,0.34,7.2,10.5,342,333,0,0.00,0.0,0.0,0.0,0.0
2021-12-17T01:00,17.4,83,14.6,18.0,0.00,0.00,0,1015.1,979.0,6,0,0,21,0.33,6.3,11.9,336,335,0,0.00,0.0,0.0,0.0,0.0
2021-12-17T02:00,17.2,83,14.2,17.7,0.00,0.00,0,1014.8,978.7,0,0,0,0,0.34,5.8,13.1,330,328,0,0.00,0.0,0.0,0.0,0.0
2021-12-17T03:00,16.8,83,13.9,17.0,0.00,0.00,0,1014.4,978.3,0,0,0,0,0.33,7.1,14.8,330,331,0,0.00,0.0,0.0,0.0,0.0
2021-12-17T04:00,16.5,83,13.6,16.3,0.00,0.00,0,1014.1,977.9,2,0,0,7,0.32,8.7,17.6,322,332,0,0.00,0.0,0.0,0.0,0.0
2021-12-17T05:00,16.2,83,13.3,16.0,0.00,0.00,0,1014.2,978.0,3,0,0,9,0.32,8.9,17.8,317,328,0,0.00,0.0,0.0,0.0,0.0
2021-12-17T06:00,16.0,82,13.0,15.7,0.00,0.00,0,1014.8,978.5,0,0,0,0,0.32,8.4,17.8,317,324,0,0.00,0.0,0.0,0.0,0.0
2021-12-17T07:00,15.4,89,13.6,15.6,0.00,0.00,1,1015.9,979.5,24,0,0,79,0.19,7.0,16.9,325,331,1,0.00,1.0,0.0,1.0,0.0
2021-12-17T08:00,17.2,86,14.7,17.6,0.00,0.00,0,1016.9,980.7,17,0,0,56,0.28,7.7,15.1,319,327,1,2806.15,93.0,53.0,40.0,337.1
2021-12-17T09:00,19.4,81,16.0,20.5,0.00,0.00,0,1017.5,981.6,2,0,0,8,0.43,6.8,11.7,328,326,1,3600.00,295.0,217.0,78.0,642.1
2021-12-17T10:00,22.0,74,17.0,23.5,0.00,0.00,0,1017.5,981.9,3,0,0,9,0.70,6.6,9.3,331,332,1,3600.00,489.0,403.0,86.0,788.7
2021-12-17T11:00,24.3,64,17.1,26.5,0.00,0.00,0,1016.6,981.3,8,0,0,26,1.09,5.6,7.4,333,337,1,3600.00,642.0,541.0,101.0,844.7
2021-12-17T12:00,25.8,55,16.2,28.6,0.00,0.00,0,1015.6,980.5,11,0,0,38,1.48,3.4,4.2,342,340,1,3600.00,742.0,637.0,105.0,887.7
2021-12-17T13:00,26.7,50,15.4,29.8,0.00,0.00,0,1014.4,979.4,4,0,0,15,1.75,1.1,1.1,360,18,1,3600.00,768.0,664.0,104.0,900.8
2021-12-17T14:00,27.2,48,15.2,29.6,0.00,0.00,0,1013.0,978.1,0,0,0,0,1.88,2.6,3.0,74,76,1,3600.00,715.0,612.0,103.0,877.1
2021-12-17T15:00,27.4,48,15.5,29.0,0.00,0.00,0,1012.2,977.4,0,0,0,0,1.89,3.4,4.1,72,75,1,3600.00,592.0,492.0,100.0,817.2
2021-12-17T16:00,27.2,50,15.8,28.8,0.00,0.00,0,1012.0,977.2,0,0,0,0,1.80,2.6,3.3,74,77,1,3600.00,425.0,340.0,85.0,744.5
2021-12-17T17:00,26.5,57,17.3,28.7,0.00,0.00,0,1012.3,977.4,3,3,0,0,1.48,2.6,4.9,74,73,1,3600.00,224.0,164.0,60.0,604.1
2021-12-17T18:00,25.1,55,15.6,26.6,0.00,0.00,0,1012.9,977.8,11,12,0,0,1.42,2.6,2.6,16,34,0,1587.48,40.0,22.0,18.0,181.9
2021-12-17T19:00,23.5,64,16.3,25.2,0.00,0.00,1,1013.7,978.4,21,23,0,0,1.04,3.8,3.9,343,22,0,0.00,0.0,0.0,0.0,0.0
2021-12-17T20:00,21.1,75,16.6,22.6,0.00,0.00,0,1014.6,979.0,0,0,0,0,0.61,5.5,5.2,337,12,0,0.00,0.0,0.0,0.0,0.0
2021-12-17T21:00,19.8,77,15.7,20.7,0.00,0.00,0,1015.2,979.4,0,0,0,0,0.53,7.0,8.8,325,325,0,0.00,0.0,0.0,0.0,0.0
2021-12-17T22:00,19.5,75,14.8,20.1,0.00,0.00,0,1015.7,979.8,0,0,0,0,0.58,6.8,13.1,328,328,0,0.00,0.0,0.0,0.0,0.0
2021-12-17T23:00,19.1,76,14.7,19.4,0.00,0.00,0,1016.0,980.1,0,0,0,0,0.53,8.7,16.7,336,335,0,0.00,0.0,0.0,0.0,0.0
2021-12-18T00:00,18.4,80,14.9,18.8,0.00,0.00,0,1016.0,980.0,0,0,0,0,0.42,8.4,17.6,335,334,0,0.00,0.0,0.0,0.0,0.0
2021-12-18T01:00,18.0,82,14.9,18.4,0.00,0.00,0,1015.9,979.8,0,0,0,0,0.37,8.4,17.3,329,329,0,0.00,0.0,0.0,0.0,0.0
2021-12-18T02:00,17.6,83,14.7,17.9,0.00,0.00,0,1015.3,979.2,0,0,0,0,0.35,8.9,17.7,333,331,0,0.00,0.0,0.0,0.0,0.0
2021-12-18T03:00,17.2,84,14.5,17.6,0.00,0.00,0,1014.7,978.6,1,1,0,0,0.32,7.7,16.8,332,332,0,0.00,0.0,0.0,0.0,0.0
2021-12-18T04:00,17.0,84,14.2,17.1,0.00,0.00,0,1014.5,978.4,1,1,0,0,0.31,8.5,16.5,324,328,0,0.00,0.0,0.0,0.0,0.0
2021-12-18T05:00,16.8,83,14.0,16.8,0.00,0.00,0,1014.6,978.5,0,0,0,0,0.32,9.2,17.4,321,330,0,0.00,0.0,0.0,0.0,0.0
2021-12-18T06:00,16.5,84,13.8,16.6,0.00,0.00,0,1014.9,978.7,0,0,0,0,0.30,7.6,16.9,329,333,0,0.00,0.0,0.0,0.0,0.0
2021-12-18T07:00,15.7,88,13.7,16.1,0.00,0.00,0,1016.2,979.9,7,8,0,0,0.22,5.5,14.0,328,337,1,0.00,0.0,0.0,0.0,0.0
2021-12-18T08:00,17.7,83,14.8,18.2,0.00,0.00,0,1017.2,981.1,7,8,0,0,0.34,7.6,11.8,329,340,1,2773.76,87.0,52.0,35.0,332.8
2021-12-18T09:00,20.4,77,16.2,21.4,0.00,0.00,0,1018.0,982.2,0,0,0,0,0.55,7.5,12.3,325,328,1,3600.00,284.0,208.0,76.0,618.8
2021-12-18T10:00,22.7,68,16.4,24.0,0.00,0.00,0,1018.4,982.8,0,0,0,0,0.89,6.2,8.5,324,324,1,3600.00,486.0,400.0,86.0,785.2
2021-12-18T11:00,24.2,63,16.6,26.6,0.00,0.00,0,1017.9,982.5,2,2,0,0,1.13,3.3,4.1,319,322,1,3600.00,634.0,534.0,100.0,835.3
2021-12-18T12:00,25.3,60,16.9,28.7,0.00,0.00,0,1016.9,981.7,3,3,0,0,1.30,1.0,1.1,45,72,1,3600.00,724.0,614.0,110.0,856.5
2021-12-18T13:00,26.2,57,16.9,29.4,0.00,0.00,1,1015.5,980.4,22,16,12,0,1.47,2.5,3.8,135,131,1,3600.00,736.0,605.0,131.0,821.0
2021-12-18T14:00,26.8,55,17.0,29.2,0.00,0.00,0,1014.2,979.2,8,0,13,0,1.58,5.9,7.5,166,163,1,3600.00,680.0,562.0,118.0,805.2
2021-12-18T15:00,26.9,53,16.6,28.3,0.00,0.00,0,1013.2,978.3,11,2,16,0,1.65,6.5,8.7,177,175,1,3600.00,560.0,429.0,131.0,711.7
2021-12-18T16:00,26.6,53,16.3,28.2,0.00,0.00,0,1012.7,977.8,4,0,6,0,1.64,4.0,5.4,170,172,1,3600.00,387.0,274.0,113.0,598.5
2021-12-18T17:00,25.8,59,17.1,27.8,0.00,0.00,1,1012.8,977.8,38,3,48,23,1.37,3.9,5.8,56,68,1,3600.00,177.0,94.0,83.0,344.5
2021-12-18T18:00,22.8,71,17.2,24.4,0.00,0.00,1,1013.2,977.8,44,18,46,0,0.81,6.1,15.1,28,38,0,739.94,32.0,14.0,18.0,115.0
2021-12-18T19:00,21.6,76,17.2,23.0,0.00,0.00,1,1013.7,978.2,49,5,27,94,0.61,7.4,10.4,346,20,0,0.00,0.0,0.0,0.0,0.0
2021-12-18T20:00,20.4,82,17.2,21.8,0.00,0.00,1,1014.7,979.0,32,3,0,97,0.43,7.3,9.2,340,11,0,0.00,0.0,0.0,0.0,0.0
2021-12-18T21:00,20.6,81,17.2,22.2,0.00,0.00,1,1015.4,979.7,30,0,5,90,0.46,6.2,7.2,339,357,0,0.00,0.0,0.0,0.0,0.0
2021-12-18T22:00,20.1,82,17.0,21.8,0.00,0.00,1,1016.0,980.2,28,0,2,88,0.42,5.5,8.7,349,7,0,0.00,0.0,0.0,0.0,0.0
2021-12-18T23:00,18.3,89,16.4,19.3,0.00,0.00,1,1016.6,980.6,28,1,5,80,0.24,8.6,6.3,327,347,0,0.00,0.0,0.0,0.0,0.0
2021-12-19T00:00,18.5,86,16.1,19.7,0.00,0.00,1,1016.4,980.4,43,9,13,90,0.30,6.5,8.7,326,312,0,0.00,0.0,0.0,0.0,0.0
2021-12-19T01:00,18.4,83,15.5,19.3,0.00,0.00,1,1016.2,980.2,33,4,10,79,0.36,6.6,11.7,331,317,0,0.00,0.0,0.0,0.0,0.0
2021-12-19T02:00,18.0,84,15.2,18.8,0.00,0.00,1,1016.0,979.9,27,0,6,78,0.33,6.1,12.5,332,321,0,0.00,0.0,0.0,0.0,0.0
2021-12-19T03:00,17.8,84,15.0,18.6,0.00,0.00,0,1015.3,979.2,10,1,6,18,0.33,6.0,13.2,327,325,0,0.00,0.0,0.0,0.0,0.0
2021-12-19T04:00,17.0,87,14.8,17.7,0.00,0.00,0,1015.2,979.0,7,2,7,2,0.25,5.8,13.2,330,331,0,0.00,0.0,0.0,0.0,0.0
2021-12-19T05:00,16.8,87,14.6,17.4,0.00,0.00,0,1015.0,978.8,12,6,11,1,0.26,6.2,13.2,324,325,0,0.00,0.0,0.0,0.0,0.0
2021-12-19T06:00,16.8,85,14.3,17.2,0.00,0.00,0,1015.4,979.2,13,4,16,0,0.28,7.0,13.6,325,320,0,0.00,0.0,0.0,0.0,0.0
2021-12-19T07:00,16.4,91,14.9,17.2,0.00,0.00,0,1016.8,980.5,15,11,9,0,0.18,6.0,12.6,335,323,1,0.00,0.0,0.0,0.0,0.0
2021-12-19T08:00,18.2,86,15.8,19.1,0.00,0.00,0,1017.8,981.7,15,13,5,0,0.29,7.2,11.7,323,315,1,2741.69,86.0,51.0,35.0,328.5
2021-12-19T09:00,20.3,79,16.5,21.8,0.00,0.00,1,1018.9,983.0,21,15,12,0,0.50,5.3,7.7,298,298,1,3600.00,278.0,201.0,77.0,601.2
2021-12-19T10:00,21.9,72,16.6,23.5,0.00,0.00,0,1018.9,983.2,12,8,8,0,0.74,5.0,6.3,291,294,1,3600.00,466.0,357.0,109.0,702.8
2021-12-19T11:00,23.2,65,16.2,25.4,0.00,0.00,0,1018.4,982.9,15,12,7,0,1.01,3.3,4.0,283,280,1,3600.00,631.0,524.0,107.0,821.1
2021-12-19T12:00,24.0,61,15.9,26.8,0.00,0.00,3,1017.5,982.1,96,63,52,27,1.17,1.8,2.6,233,214,1,3600.00,705.0,573.0,132.0,800.1
2021-12-19T13:00,24.6,57,15.6,26.8,0.00,0.00,3,1015.9,980.6,100,100,41,100,1.33,1.1,1.1,342,342,1,3600.00,621.0,444.0,177.0,602.7
2021-12-19T14:00,25.1,56,15.7,26.3,0.00,0.00,3,1014.8,979.6,100,44,66,98,1.40,6.0,7.0,17,21,1,3600.00,565.0,368.0,197.0,527.0
2021-12-19T15:00,24.8,60,16.4,25.9,0.00,0.00,3,1013.9,978.7,89,19,73,95,1.27,8.1,10.4,13,14,1,3600.00,413.0,185.0,228.0,306.5
2021-12-19T16:00,24.5,63,17.0,25.8,0.00,0.00,3,1013.6,978.4,100,44,100,32,1.14,8.4,11.6,350,353,1,3600.00,272.0,109.0,163.0,237.5
2021-12-19T17:00,23.9,65,17.0,25.2,0.00,0.00,1,1013.9,978.6,28,13,19,17,1.04,8.0,15.9,350,354,1,3600.00,158.0,62.0,96.0,226.0
2021-12-19T18:00,21.9,69,16.0,23.1,0.00,0.00,1,1014.4,978.9,23,0,14,48,0.81,5.7,14.0,342,359,0,853.70,32.0,15.0,17.0,122.4
2021-12-19T19:00,20.7,78,16.7,21.8,0.00,0.00,0,1015.1,979.4,14,14,2,0,0.54,8.0,13.7,27,55,0,0.00,0.0,0.0,0.0,0.0
2021-12-19T20:00,19.9,78,16.0,21.2,0.00,0.00,0,1016.1,980.3,10,0,6,20,0.51,5.4,5.6,340,27,0,0.00,0.0,0.0,0.0,0.0
2021-12-19T21:00,19.9,72,14.8,20.6,0.00,0.00,1,1016.7,980.9,43,7,40,41,0.64,6.1,11.7,310,315,0,0.00,0.0,0.0,0.0,0.0
2021-12-19T22:00,19.2,75,14.7,19.9,0.00,0.00,1,1017.1,981.2,22,9,24,0,0.56,5.9,13.2,317,315,0,0.00,0.0,0.0,0.0,0.0
2021-12-19T23:00,18.5,78,14.6,19.1,0.00,0.00,0,1017.4,981.4,12,9,6,0,0.47,6.0,13.1,327,323,0,0.00,0.0,0.0,0.0,0.0
2021-12-20T00:00,18.2,79,14.5,18.6,0.00,0.00,0,1017.1,981.0,4,0,0,14,0.43,7.2,14.8,342,337,0,0.00,0.0,0.0,0.0,0.0
2021-12-20T01:00,17.4,82,14.3,17.8,0.00,0.00,1,1016.6,980.5,27,0,0,89,0.36,7.3,16.3,340,338,0,0.00,0.0,0.0,0.0,0.0
2021-12-20T02:00,16.8,83,13.9,17.0,0.00,0.00,1,1016.1,979.9,25,0,0,83,0.32,7.1,16.8,330,332,0,0.00,0.0,0.0,0.0,0.0
2021-12-20T03:00,16.2,83,13.4,16.0,0.00,0.00,0,1015.5,979.2,0,0,0,0,0.30,8.6,18.5,327,331,0,0.00,0.0,0.0,0.0,0.0
