id,Usage,timestamp,actual_0,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,actual_7,actual_8,actual_9,actual_10,actual_11,actual_12,actual_13,actual_14,actual_15,actual_16,actual_17,actual_18,actual_19,actual_20,actual_21,actual_22,actual_23
11,Public,2023-01-08 16:00:00+07:00,3325.161,2900.271,2710.955,2355.17,2917.706,3012.921,2656.537,2507.782,2333.124,2445.977,2423.363,2262.633,2214.344,2275.483,2301.872,2172.266,3257.494,4403.226,13621.138,21173.556,11376.809,19348.505,23279.981,20546.896
12,Public,2023-01-27 16:00:00+07:00,12344.507,4199.514,4235.713,4085.343,3990.767,2826.147,2621.614,2679.78,2505.31,2445.138,2397.551,2329.84,2509.367,2273.184,2306.601,2324.63,3681.189,14560.006,17697.683,16659.263,9052.546,16392.874,20834.895,21723.187
13,Public,2023-03-29 17:00:00+07:00,2177.522,2199.456,2440.604,2236.196,2227.647,2214.633,2175.461,2231.819,2437.65,2231.497,2081.89,2037.995,2009.567,2143.456,2061.002,4503.78,5932.709,17068.959,16274.641,10110.837,17081.845,22399.097,15471.237,8391.695
14,Public,2023-02-21 13:00:00+07:00,12037.869,13665.284,7667.946,11037.088,3459.66,4408.138,3722.132,5535.354,3606.023,2353.618,2342.23,2320.117,2286.034,2479.048,2290.698,2258.777,2218.498,2341.834,2294.854,4634.614,6199.311,17526.946,16445.814,11295.202
15,Public,2023-03-30 17:00:00+07:00,2878.584,2784.1,2916.655,2638.92,2687.629,2652.706,2427.154,2206.103,2226.639,2184.648,2227.453,2310.726,2455.106,2304.194,2784.768,5625.376,11209.057,17518.195,16748.914,11682.123,22163.221,23199.216,16958.566,5635.969
16,Public,2023-09-23 16:00:00+07:00,16459.002,10325.861,9847.052,8138.86,8222.379,6183.79,5922.36,5591.883,5725.132,6830.51,6724.918,6422.63,6345.868,6050.551,5752.215,4900.579,9546.161,17247.517,24518.797,22265.467,18929.952,22658.851,23460.175,18817.902
17,Public,2023-03-24 15:00:00+07:00,20316.257,12319.583,6182.694,3847.751,3121.542,2900.838,2661.49,2473.976,2396.272,2370.466,2196.902,2159.625,2113.064,2154.695,2137.863,2223.7,2513.021,4421.768,10414.476,17148.827,13405.549,10169.488,13880.36,15418.079
18,Public,2023-03-26 03:00:00+07:00,2174.96,2016.16,1947.279,2035.405,2177.249,4024.192,7351.688,8194.822,8198.479,6303.495,8471.008,8322.337,8255.567,4183.364,2167.58,2351.646,2233.438,2156.636,2207.769,2161.496,2012.341,2024.721,2143.363,2124.492
19,Public,2023-09-26 12:00:00+07:00,9868.635,9064.519,9111.346,9152.488,6687.698,4129.264,4467.135,6677.621,8039.196,6903.641,5882.579,6127.747,6543.619,6044.118,5863.706,6208.382,6958.443,5777.502,6401.854,6241.86,8344.302,12231.972,15020.504,14170.996
20,Public,2023-03-07 23:00:00+07:00,3029.388,2918.771,2622.463,2679.491,2730.606,2870.357,2684.923,2752.453,3273.123,7574.526,9881.534,15797.264,15824.603,17247.803,27264.06,26678.658,19000.834,12173.107,3122.499,3473.919,3326.977,3585.854,3499.297,3166.977
21,Public,2023-06-12 17:00:00+07:00,2744.246,3324.8,3254.067,3424.997,3113.037,3102.778,3066.484,2898.84,2590.33,2597.296,2650.559,2681.641,2516.476,2777.105,2580.423,4159.309,7299.561,8628.064,7379.305,6488.91,10623.636,10712.667,9037.621,9599.503
22,Public,2023-05-07 18:00:00+07:00,3211.844,3452.944,3222.598,3214.651,2905.136,2998.631,2785.358,2468.38,2489.282,2576.461,2550.581,2409.813,2966.805,2557.423,6846.365,8825.044,9172.739,9562.162,12645.868,22595.806,26595.455,24118.482,15421.273,5390.028
23,Public,2023-01-31 22:00:00+07:00,2684.272,2504.017,2284.138,2233.508,2205.838,2377.348,2208.903,2282.649,2293.849,2827.007,5914.445,9444.807,17448.833,19349.697,12893.025,19283.304,19427.187,19411.22,12293.55,5084.319,4362.57,4336.09,3707.9,2974.178
24,Public,2023-03-23 12:00:00+07:00,12717.739,17683.991,20907.137,19262.327,10798.342,2769.201,3049.73,2841.333,3573.011,2923.345,2886.036,2527.653,2458.342,2610.29,2468.303,2510.551,2520.27,2504.705,2598.542,3745.112,6538.171,14390.07,14738.485,15080.789
25,Public,2023-05-24 11:00:00+07:00,17914.534,11612.27,19049.1,22878.932,20071.528,3082.311,2592.475,3095.508,3042.549,2773.19,2659.386,2759.701,2593.696,2260,2279.247,2241.939,2243.733,2192.81,2214.323,2631.932,2524.225,4975.401,15936.508,19718.706
26,Public,2023-07-07 15:00:00+07:00,14116.748,5287.61,3047.42,3224.428,2886.855,2844.405,3031.004,2812.391,2818.205,2560.815,2600.079,2558.767,2412.208,2361.381,2384.544,2649.235,3037.326,6316.534,18623.885,20691.214,18873.36,12256.332,14229.049,15308.127
27,Public,2023-05-04 18:00:00+07:00,2976.486,2798.256,3044.762,2719.043,2778.587,2572.088,2382.206,2394.771,2469.457,2429.121,2411.644,2565.482,2493.414,2764.7,6450.894,15771.456,16468.064,15378.155,11449.226,17340.767,15126.797,4739.038,4878.904,2859.546
28,Public,2023-03-18 19:00:00+07:00,2556.885,2574.891,2384.227,2432.896,2226.853,2230.171,2149.45,2360.854,2441.465,2222.965,2230.328,2414.929,2696.887,4644.584,5585.881,15097.199,16857.021,13153.464,16931.156,16976.564,9186.186,2926.982,2250.094,2567.388
29,Public,2023-09-21 00:00:00+07:00,4504.191,4661.558,5178.391,4845,4979.736,4952.683,4758.185,4944.398,5881.98,10124.836,10586.289,9046.006,5202.99,4519.417,7961.583,10675.897,8851.992,7331.135,6458.818,6108.156,5950.911,5625.881,5365.915,6832.784
30,Public,2023-08-02 00:00:00+07:00,2515.886,2655.016,2412.781,2393.87,2283.906,2325.176,2574.033,2606.23,2952.295,3429.555,5332.055,4413.806,3953.278,5331.072,3587.833,2815.251,2587.962,2713.184,2838.737,2758.562,2832.769,2738.833,2639.182,2647.274
31,Public,2023-05-28 15:00:00+07:00,10696.654,6374.535,2840.219,3245.074,3016.991,3261.276,2724.587,2566.099,2392.885,2222.342,2400.069,2399.119,2436.108,2302.179,2393.914,2709.679,2471.807,7985.189,7124.524,4502.194,9207.354,8902.137,4225.993,7549.555
32,Public,2023-04-10 04:00:00+07:00,2185.244,2256.291,2610.624,2142.443,5199.437,14012.045,18120.199,17280.985,11480.026,17257.646,19667.697,19905.359,10656.935,2696.947,2740.812,2818.377,2954.686,2853.355,2821.741,2631.933,2165.659,1982.725,2058.596,2174.563
33,Public,2023-04-30 20:00:00+07:00,3430.109,3029.312,3021.169,3021.819,2774.287,2406.807,2486.969,2523.595,2553.28,2459.554,2814.431,2534.939,5208.471,13891.517,18064.903,19626.803,11732.687,17604.367,17498.03,19085.273,13803.234,3854.668,3245.045,3378.376
34,Public,2023-06-13 23:00:00+07:00,2657.938,2620.142,2357.052,2523.948,2490.363,2474.753,2631.416,2685.678,2727.646,3400.113,7059.747,8225.323,7984.586,3808.936,9695.549,12471.261,7521.26,4824.856,2597.103,2833.197,2471.574,2644.791,2661.343,2536.093
35,Public,2023-05-25 21:00:00+07:00,2523.793,2451.329,2522.698,2272.237,2358.164,2175.787,2420.203,2229.759,2163.327,2505.343,2251.867,9134.854,18849.979,20456.654,19138.248,15157.082,21682.622,20859.123,20599.495,15213.506,3693.189,3505.303,3157.929,3234.011
36,Public,2023-02-05 04:00:00+07:00,2560.15,2333.389,2509.903,2973.941,4809.386,6295.456,10314.822,10275.148,7463.742,13110.425,13625.984,11723.079,6001.942,3937.886,2969.928,2803.405,2783.871,2862.475,2585.116,2440.054,2394.547,2324.022,2272.193,2297.936
37,Public,2023-04-20 01:00:00+07:00,2392.101,2442.322,2183.838,2139.516,2330.475,2750.217,2398.339,5305.507,10423.923,18641.194,22575.439,13430.887,17039.173,20348.921,19036.812,5627.399,2582.181,3002.942,3082.402,2951.514,3223.999,2604.883,2597.664,2325.034
38,Public,2023-07-31 17:00:00+07:00,2547.251,3017.044,2974.48,3197.482,3028.996,2865.053,2730.237,2790.261,2436.507,2326.762,2534.998,2415.663,2324.406,2435.546,2392.506,2660.572,5624.589,3103.429,4538.287,3692.718,7119.262,9999.882,8432.938,3231.744
39,Public,2023-03-23 20:00:00+07:00,3573.011,2923.345,2886.036,2527.653,2458.342,2610.29,2468.303,2510.551,2520.27,2504.705,2598.542,3745.112,6538.171,14390.07,14738.485,15080.789,10689.686,18002.633,20764.38,20316.257,12319.583,6182.694,3847.751,3121.542
40,Public,2023-08-25 09:00:00+07:00,11891.522,13263.941,10040.178,2282.552,2766.121,4670.625,5198.262,4830.67,2283.011,2650.445,2874.815,2689.436,2508.613,2678.635,2546.057,2264.248,2394.751,2194.753,2476.73,2310.797,2356.527,2537.69,2571.153,4643.299
41,Public,2023-01-22 17:00:00+07:00,3780.737,3983.455,2773.006,2855.887,3052.409,2887.927,2541.57,2387.518,2361.41,2244.307,2195.368,2339.651,2181.468,2496.003,2134.636,3399.678,6529.783,14322.102,14173.589,10316.166,21695.798,18741.38,19700.766,12293.414
42,Public,2023-09-30 04:00:00+07:00,2052.057,2006.529,1913.128,1906.27,2195.09,5237.765,6072.549,6292.671,3050.024,4956.186,4303.49,5874.179,4193.314,2132.247,2291.21,2043.268,2376.901,2124.219,1939.907,2730.557,2119.529,2056.623,1905.074,2002.712
43,Public,2023-01-27 13:00:00+07:00,27230.473,28147.462,21171.229,12344.507,4199.514,4235.713,4085.343,3990.767,2826.147,2621.614,2679.78,2505.31,2445.138,2397.551,2329.84,2509.367,2273.184,2306.601,2324.63,3681.189,14560.006,17697.683,16659.263,9052.546
44,Public,2023-07-06 19:00:00+07:00,2810.258,2779.367,2834.115,2728.268,2648.233,2479.6,2841.437,2583.638,2610.401,2694.672,2556.638,2609.416,3208.069,9145.317,20926.726,17996.05,18273.516,12299.718,21600.374,18616.492,14116.748,5287.61,3047.42,3224.428
45,Public,2023-02-14 22:00:00+07:00,2693.656,2745.507,2345.75,2292.062,2314.769,2465.033,2490.583,2310.202,2366.261,2638.013,5593.75,8533.57,19728.868,17488.441,16346.94,22227.199,21993.964,19362.457,10501.77,2661.368,2854.534,3039.366,2843.157,2953.278
46,Public,2023-07-06 22:00:00+07:00,2728.268,2648.233,2479.6,2841.437,2583.638,2610.401,2694.672,2556.638,2609.416,3208.069,9145.317,20926.726,17996.05,18273.516,12299.718,21600.374,18616.492,14116.748,5287.61,3047.42,3224.428,2886.855,2844.405,3031.004
47,Public,2023-08-02 16:00:00+07:00,2587.962,2713.184,2838.737,2758.562,2832.769,2738.833,2639.182,2647.274,2517.336,2463.063,2516.543,2605.678,2456.171,2511.831,2631.346,2480.265,2631.642,4074.603,4206.919,5416.329,7448.467,6083.793,5318.233,6937.704
48,Public,2023-04-29 23:00:00+07:00,3021.81,2799.74,2742.84,2474.251,2524.175,2459.178,2482.757,3112.551,3384.007,6070.576,7186.355,9699.844,12873.18,10144.628,9656.697,9353.209,7055.833,3669.139,3106.955,3554.072,3366.812,3430.109,3029.312,3021.169
49,Public,2023-08-25 01:00:00+07:00,2342.064,2442.846,2224.588,2368.524,2327.913,2520.97,2402.527,2952.565,11891.522,13263.941,10040.178,2282.552,2766.121,4670.625,5198.262,4830.67,2283.011,2650.445,2874.815,2689.436,2508.613,2678.635,2546.057,2264.248
50,Public,2023-03-20 22:00:00+07:00,2829.625,2395.467,2271.587,2300.498,2480.456,2297.662,2238.199,2331.949,2430.044,2388.713,4362.999,12122.278,14674.807,13419.524,8499.617,13122.034,14797.893,13761.381,8460.035,2652.653,2729.924,3012.01,2989.219,3113.906
51,Public,2023-08-16 22:00:00+07:00,2501.868,2623.538,2282.196,2372.372,2367.2,2306.517,2254.994,2465.59,2392.47,2694.801,5514.123,13878.819,15407.945,13358.595,12320.785,16523.278,16561.753,14325.139,14962.597,3168.295,2895.127,2772.162,2949.249,2696.769
52,Public,2023-09-11 10:00:00+07:00,11280.935,13391.65,11185.197,12906.231,12406.745,11235.668,7450.366,3689.408,3372.763,2590.877,2606.54,2420.331,2335.574,2200.883,2360.698,2357.039,2127.199,2121.225,2160.49,2137.545,2454.217,2482.002,3015.713,6051.631
53,Public,2023-02-11 17:00:00+07:00,4263.6,3476.482,3355.917,3422.142,3571.404,3289.069,2535.362,2394.545,2230.651,2146.884,2140.624,2122.637,2108.578,2189.699,2843.496,4859.437,6716.857,6543.752,12110.944,10019.924,14529.024,14501.451,12483.159,6756.703
54,Public,2023-03-04 12:00:00+07:00,11080.206,17507.639,24136.539,21666.987,12536.469,3296.199,2891.532,2874.625,2941.384,3144.178,2790.471,2492.868,2463.261,2478.375,2380.928,2427.395,2389.598,2525.549,2549.769,3345.373,6584.282,7828.235,7737.468,7821.723
55,Public,2023-09-27 03:00:00+07:00,6208.382,6958.443,5777.502,6401.854,6241.86,8344.302,12231.972,15020.504,14170.996,11745.947,16311.007,16841.095,19079.556,18138.829,6116.614,4982.782,6147.279,6764.594,4889.223,4851.997,4439.57,4262.922,4753.893,4806.389
56,Public,2023-10-04 08:00:00+07:00,10759.919,22092.948,28788.698,24844.157,23009.237,41428.869,25248.151,17386.37,9079.722,4584.683,4987.895,5141.433,4686.485,4331.356,4950.208,4686.78,4137.759,4508.258,4138.777,4134.073,4353.418,4007.441,4548.772,3522.214
57,Public,2023-08-23 08:00:00+07:00,5852.602,7809.798,9653.215,7120.659,2883.629,4261.8,4015.533,3310.73,2891.547,2470.653,3184.454,2945.053,2690.14,2886.059,2748.452,2484.632,2271.948,2329.568,2149.394,2228.66,2169.476,2280.385,2467.983,2759.923
58,Public,2023-03-07 13:00:00+07:00,16404.272,21463.789,19497.081,10940.736,3758.608,3720.557,3209.103,3368.257,3282.804,3587.399,3029.388,2918.771,2622.463,2679.491,2730.606,2870.357,2684.923,2752.453,3273.123,7574.526,9881.534,15797.264,15824.603,17247.803
59,Public,2023-09-08 00:00:00+07:00,2187.885,2357.499,2131.203,2283.051,2281.963,2159.713,2375.837,2969.349,3657.672,10077.179,15211.003,19119.364,16562.031,22268.114,21672.627,17914.418,9541.369,3030.829,2931.478,2923.894,2548.279,2525.476,2445.421,2262.964
60,Public,2023-08-21 20:00:00+07:00,3238.938,3082.769,2705.469,2519.217,2473.902,2639.103,2459.949,2397.299,2419.746,2465.037,2579.943,2661.005,3103.894,2795.115,2917.22,2806.092,3356.348,4820.002,7751.623,7452.467,3922.749,2772.017,2803.233,3066.266
61,Public,2023-02-25 16:00:00+07:00,8158.465,2600.54,2716.666,3110.4,3286.377,3010.035,2978.297,2762.573,2734.408,2772.481,2359.608,2276.164,2278.74,2231.818,2415.212,2985.565,5649.138,7229.23,7791.562,11805.097,8160.062,10690.3,10585.708,10718.069
62,Public,2023-01-04 09:00:00+07:00,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345
63,Public,2023-01-07 20:00:00+07:00,2646.012,2686.469,2483.69,2466.248,2262.046,2246.15,2137.219,2204.374,2149.259,2069.298,2143.262,2673.702,3488.205,6110.038,10871.443,16092.367,5960.822,6956.595,7204.316,7237.554,3325.161,2900.271,2710.955,2355.17
64,Public,2023-01-25 17:00:00+07:00,3381.536,2742.103,3003.836,2719.824,2845.385,2896.6,2709.991,2765.968,2367.975,2243.338,2300.378,2365.663,2358.591,2347.877,2203.558,4767.566,15766.496,21065.673,18050.259,11070.054,21030.468,21738.764,19231.174,13025.69
65,Public,2023-01-13 10:00:00+07:00,6719.507,18451.697,21663.105,27846.525,25954.314,16256.968,7664.467,4002.326,3276.898,2537.774,2701.572,2477.233,2350.964,2426.653,2381.4,2538.59,2308.962,2352.319,2324.802,2198.187,2208.164,2133.408,3621.301,12076.929
66,Public,2023-06-04 19:00:00+07:00,3125.558,2950.08,3057.627,2796.511,2783.566,2476.864,2503.256,2546.753,2541.054,2586.301,2458.43,2612.837,2576.06,5639.578,22143.856,27184.752,24522.275,16826.996,22200.075,22257.415,22789.998,18120.614,4803.302,3280.391
67,Public,2023-08-18 11:00:00+07:00,25513.948,20984.891,21939.186,17288.209,13470.276,9197.477,4527.659,3279.228,3509.862,5355.801,4823.05,2928.752,2743.389,2503.515,2284.208,2383.658,2295.219,2276.942,2380.284,2755.449,2729.827,7797.753,22003.303,26618.404
68,Public,2023-08-18 01:00:00+07:00,2406.958,2261.895,2256.935,2497.022,2300.922,2477.965,2775.456,6749.677,16603.687,25967.454,25513.948,20984.891,21939.186,17288.209,13470.276,9197.477,4527.659,3279.228,3509.862,5355.801,4823.05,2928.752,2743.389,2503.515
69,Public,2023-02-13 17:00:00+07:00,6443.164,3440.66,2962.006,3053.707,2911.052,2796.745,2727.587,2331.978,2475.194,2393.163,2410.844,2326.241,2293.23,2383.629,2543.086,5483.94,16345.418,17388.516,16847.394,11668.782,18617.23,19173.172,17927.932,13134.252
70,Public,2023-08-04 07:00:00+07:00,2710.61,4270.555,8215.514,7868.372,7915.63,5133.567,9282.98,4852.484,2978.13,2523.538,2322.136,2712.427,2764.083,2766.57,2669.076,2662.829,2402.443,2259.181,2329.679,2595.459,2509.203,2258.136,2322.641,2469.369
71,Public,2023-02-12 18:00:00+07:00,3755.377,2917.604,2740.887,2812.443,2643.935,2568.5,2424.459,2320.762,2296.928,2190.728,2202.446,2354.904,2321.617,2288.15,7562.343,18585.794,20849.177,18916.654,13231.621,20433.796,23792.326,19787.305,13165.008,6443.164
72,Public,2023-04-16 13:00:00+07:00,8576.891,8541.087,8061.173,3179.086,2647.746,2650.532,2551.601,2664.823,2464.16,2476.856,2597.558,2317.153,2120.981,2175.186,2141.202,2184.051,2064.784,2386.979,2264.377,4716.928,6318.43,16253.348,19022.845,12106.661
73,Public,2023-07-13 16:00:00+07:00,8689.044,2786.63,3189.153,3105.822,3086.425,3165.576,3054.214,2713.745,2667.741,2490.408,2686.657,2837.38,2558.51,2553.802,2840.917,3123.393,6777.592,10522.933,23750.643,22611.409,12904.61,21773.701,11086.975,8526.128
74,Public,2023-08-14 19:00:00+07:00,3362.221,3315.432,3055.232,2909.349,2813.247,2490.73,2527.763,2577.904,2517.986,2372.688,2447.566,2732.186,3135.888,3239.185,6190.625,7249.581,7289.264,3580.74,17702.177,23131.287,19853.243,10897.541,4570.864,2911.913
75,Public,2023-04-18 16:00:00+07:00,9655.309,2858.755,3326.064,3070.279,2992.515,2681.044,2585.768,2546.403,2296.95,2070.579,2214.538,2275.243,2192.868,2122.008,2697.454,2278.493,5970.914,15147.867,18601.14,16748.245,10283.663,17521.3,22103.914,19795.891
76,Public,2023-07-08 18:00:00+07:00,2741.583,2826.912,2799.999,2524.477,2493.144,2691.613,2455.643,2374.065,2525.062,2431.417,2359.371,2365.102,2578.077,2754.899,2432.76,5887.197,6765.356,6686.435,3458.959,6610.968,6663.709,6830.424,5068.622,3782.278
77,Public,2023-08-13 20:00:00+07:00,3092.372,2811.379,2716.224,2658.36,2606.802,2312.796,2360.75,2297.534,2401.007,2523.389,2555.116,2935.494,3827.591,6938.664,8156.233,8452.492,3849.853,8392.129,7984.329,13286.561,10632.257,2823.321,3171.447,3362.221
78,Public,2023-05-05 14:00:00+07:00,15126.797,4739.038,4878.904,2859.546,3471.024,3444.992,3034.398,2913.883,2731.443,2485.124,2326.836,2246.707,2417.323,2171.234,2294.039,2222.881,2673.455,2520.143,9620.702,15777.419,15692.794,20180.557,12464.802,16769.321
79,Public,2023-03-31 16:00:00+07:00,5635.969,2719.321,2249.116,2371.586,2502.185,2230.014,2187.202,2302.889,2249.966,2056.077,2016.782,2061.005,2026.64,2147.716,1932.793,1923.279,4237.142,10883.211,18801.295,17295.038,9618.346,16312.426,18139.714,17629.368
80,Public,2023-06-22 14:00:00+07:00,6914.402,6923.786,4985.404,2671.12,2905.223,2740.083,2689.303,2641.097,2581.011,2554.508,2744.966,2390.648,2477.638,2447.698,2446.653,2435.054,2422.339,2968.02,4006.027,7564.248,9658.824,22024.561,22023.547,26750.352
81,Public,2023-02-14 05:00:00+07:00,2293.23,2383.629,2543.086,5483.94,16345.418,17388.516,16847.394,11668.782,18617.23,19173.172,17927.932,13134.252,3175.422,3069.529,2762.057,2880.851,2744.316,2693.656,2745.507,2345.75,2292.062,2314.769,2465.033,2490.583
82,Public,2023-01-10 01:00:00+07:00,2504.165,2310.661,2490.755,2273.888,2267.924,2279.586,2238.488,3782.712,9889.853,6327.032,12063.11,10149.07,27777.151,31076.152,28147.608,16975.954,3763.996,3741.011,3817.457,3641.631,3575.43,3084.347,3060.597,2848.856
83,Public,2023-04-03 16:00:00+07:00,10382.598,1922.445,1909.925,1959.468,1935.636,1844.085,1982.778,1651.64,1726.374,1635.586,1600.149,1535.365,1588.843,1612.116,1895.781,1747.963,5129.073,11598.754,18595.798,16825.642,11346.989,17692.027,18808.504,17360.33
84,Public,2023-01-23 23:00:00+07:00,2644.367,2541.637,2346.979,2254.116,2179.773,2426.748,2245.326,2423.171,2375.053,4030.085,6076.059,13266.771,30194.028,15836.278,18498.71,19124.297,20986.634,12891.547,3196.072,2875.964,2957.618,3169.832,3012.925,2821.183
85,Public,2023-05-03 15:00:00+07:00,13229.933,8059.372,2625.21,3267.502,3176.062,3301.775,2944.716,2983.38,2395.826,2559.483,2322.466,2341.358,2361.606,2386.404,2468.14,2721.106,2395.715,4447.816,9877.747,11309.722,10869.16,8990.077,13363.991,14636.64
86,Public,2023-08-16 14:00:00+07:00,8637.651,6913.896,4684.47,2310.625,2638.105,2690.622,2725.565,2746.59,2501.868,2623.538,2282.196,2372.372,2367.2,2306.517,2254.994,2465.59,2392.47,2694.801,5514.123,13878.819,15407.945,13358.595,12320.785,16523.278
87,Public,2023-05-04 14:00:00+07:00,14636.64,5520.805,2827.428,2645.895,2976.486,2798.256,3044.762,2719.043,2778.587,2572.088,2382.206,2394.771,2469.457,2429.121,2411.644,2565.482,2493.414,2764.7,6450.894,15771.456,16468.064,15378.155,11449.226,17340.767
88,Public,2023-04-09 05:00:00+07:00,1910.163,2246.76,2042.741,4077.559,5722.198,5950.634,6182.551,6680.847,6129.653,6005.412,6059.3,2861.925,2467.711,2611.937,2748.676,2782.852,2799.32,2577.985,2549.469,2388.086,2357.443,2152.806,2141.898,2185.244
89,Public,2023-08-13 06:00:00+07:00,2802.438,3039.967,3619.279,7040.486,7858.618,8276.968,6413.101,10109.925,11868.639,13603.351,7841.064,3547.228,3352.207,3117.627,3092.372,2811.379,2716.224,2658.36,2606.802,2312.796,2360.75,2297.534,2401.007,2523.389
90,Public,2023-06-11 22:00:00+07:00,2931.053,2823.791,2612.123,2477.468,2642.958,2768.11,2705.158,2501.271,2806.774,3463.148,7953.958,19094.977,21060.304,23251.569,17799.792,20587.95,19068.57,13158.576,5246.451,2744.246,3324.8,3254.067,3424.997,3113.037
91,Public,2023-06-02 02:00:00+07:00,2364.214,2394.001,2502.847,2408.743,2770.957,2892.42,6966.596,16431.318,16870.736,18113.784,11662.071,16113.819,21189.14,17360.818,13132.25,3271.504,3610.913,3727.757,3548.667,3314.317,3300.243,2920.141,2936.923,2742.112
92,Public,2023-04-16 03:00:00+07:00,2062.478,1976.056,1974.655,2395.573,2131.771,4229.264,6746.928,8576.25,8487.275,6667.066,8576.891,8541.087,8061.173,3179.086,2647.746,2650.532,2551.601,2664.823,2464.16,2476.856,2597.558,2317.153,2120.981,2175.186
93,Public,2023-01-10 11:00:00+07:00,12063.11,10149.07,27777.151,31076.152,28147.608,16975.954,3763.996,3741.011,3817.457,3641.631,3575.43,3084.347,3060.597,2848.856,2601.743,2434.582,2336.987,2522.383,2396.213,2413.218,2950.134,5186.701,11757.31,12614.656
94,Public,2023-01-25 10:00:00+07:00,12108.45,15657.042,8635.783,19072.169,19084.216,19921.245,10950.509,3381.536,2742.103,3003.836,2719.824,2845.385,2896.6,2709.991,2765.968,2367.975,2243.338,2300.378,2365.663,2358.591,2347.877,2203.558,4767.566,15766.496
95,Public,2023-03-13 16:00:00+07:00,2463.524,2442.087,2635.306,2712.065,2927.541,2844.204,2833.52,2672.445,2617.907,2745.063,2858.831,2650.066,2673.965,2691.304,2570.734,2590.464,3735.368,4512.77,6115.703,5413.927,5675.724,15798.915,18439.398,23605.119
