timestamp,solar_irrad,module_temp,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),is_day (),sunshine_duration (s),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²)
2021-10-15 19:00:00+07:00,0.054,25.468,24.7,83,21.6,28.3,0.0,0.0,3,1006.6,971.7,100,77,100,1,0.53,7.2,15.2,333,338,18.4,0,0.0,0.0,0.0,0.0,0.0
2021-10-15 20:00:00+07:00,0.057,25.943,24.6,83,21.6,28.0,0.0,0.0,3,1007.5,972.5,92,34,100,6,0.51,8.2,15.3,337,341,14.8,0,0.0,0.0,0.0,0.0,0.0
2021-10-15 21:00:00+07:00,0.058,26.092,24.1,85,21.4,27.3,0.0,0.0,3,1008.4,973.3,82,21,100,12,0.46,9.2,16.2,329,339,16.6,0,0.0,0.0,0.0,0.0,0.0
2021-10-15 22:00:00+07:00,0.058,26.074,23.9,85,21.3,27.1,0.0,0.0,3,1008.6,973.5,92,37,97,0,0.44,9.0,16.3,323,338,16.6,0,0.0,0.0,0.0,0.0,0.0
2021-10-15 23:00:00+07:00,0.056,26.038,23.9,85,21.3,27.2,0.0,0.0,3,1008.5,973.4,100,75,100,0,0.43,8.4,15.8,317,336,15.8,0,0.0,0.0,0.0,0.0,0.0
2021-10-16 00:00:00+07:00,0.056,26.065,23.8,86,21.4,27.1,0.1,0.1,51,1008.6,973.5,70,14,94,3,0.41,8.5,15.5,324,338,15.1,0,0.0,0.0,0.0,0.0,0.0
2021-10-16 01:00:00+07:00,0.053,23.751,23.7,86,21.3,27.0,0.0,0.0,2,1008.5,973.4,77,19,96,7,0.4,8.9,15.6,320,337,15.8,0,0.0,0.0,0.0,0.0,0.0
2021-10-16 02:00:00+07:00,0.05,23.256,23.6,87,21.3,26.7,0.0,0.0,3,1008.4,973.3,96,37,100,10,0.38,9.2,15.9,309,327,16.6,0,0.0,0.0,0.0,0.0,0.0
2021-10-16 03:00:00+07:00,0.048,23.158,23.5,87,21.2,26.7,0.0,0.0,3,1008.1,973.0,100,50,90,43,0.37,8.9,15.8,310,325,16.2,0,0.0,0.0,0.0,0.0,0.0
2021-10-16 04:00:00+07:00,0.048,23.049,23.3,88,21.2,26.4,1.1,1.1,55,1007.6,972.5,77,22,45,100,0.35,9.7,17.9,318,332,17.6,0,0.0,0.0,0.0,0.0,0.0
2021-10-16 05:00:00+07:00,0.05,23.036,23.1,91,21.6,26.8,0.8,0.8,53,1008.0,972.8,100,100,100,100,0.25,7.0,13.8,305,327,17.6,0,0.0,0.0,0.0,0.0,0.0
2021-10-16 06:00:00+07:00,4.499,22.972,23.2,92,21.8,26.8,2.0,2.0,61,1008.6,973.4,100,93,100,100,0.22,8.4,14.3,313,332,20.5,0,0.0,0.0,0.0,0.0,0.0
2021-10-16 07:00:00+07:00,32.922,23.678,23.3,92,22.0,27.3,2.9,2.9,63,1009.2,974.0,100,100,100,100,0.22,5.8,11.2,300,320,14.8,1,0.0,5.0,0.0,5.0,0.0
2021-10-16 08:00:00+07:00,132.459,26.322,23.8,92,22.5,28.0,0.9,0.9,53,1009.9,974.7,100,43,100,100,0.22,7.1,11.2,311,320,18.4,1,0.0,62.0,2.0,60.0,7.4
2021-10-16 09:00:00+07:00,193.201,29.574,24.2,91,22.6,28.1,1.2,1.2,55,1010.7,975.6,100,63,100,100,0.27,8.9,13.1,313,323,19.1,1,0.0,111.0,5.0,106.0,10.3
2021-10-16 10:00:00+07:00,270.789,33.271,24.1,92,22.7,28.0,2.1,2.1,61,1011.2,976.0,100,100,100,100,0.25,10.0,14.8,300,304,30.2,1,0.0,119.0,0.0,119.0,0.0
2021-10-16 11:00:00+07:00,297.514,34.886,24.3,91,22.8,28.2,1.2,1.2,55,1011.3,976.2,100,100,96,100,0.26,9.7,13.8,315,319,30.2,1,0.0,178.0,16.0,162.0,20.1
2021-10-16 12:00:00+07:00,203.993,32.441,24.9,89,23.0,29.1,0.5,0.5,53,1010.4,975.4,100,100,100,100,0.35,8.7,12.4,318,324,32.0,1,0.0,232.0,11.0,221.0,12.7
2021-10-16 13:00:00+07:00,170.2,31.587,24.6,91,23.1,29.1,0.7,0.7,53,1009.3,974.3,100,46,98,100,0.27,7.4,10.1,317,325,29.2,1,0.0,141.0,0.0,141.0,0.0
2021-10-16 14:00:00+07:00,157.35,31.518,25.1,88,23.0,29.3,0.4,0.4,51,1008.8,973.8,100,36,100,100,0.37,9.0,12.3,299,308,29.9,1,0.0,203.0,18.0,185.0,21.8
2021-10-16 15:00:00+07:00,66.22,27.957,25.2,89,23.2,29.8,0.8,0.8,53,1008.0,973.1,100,35,100,100,0.36,6.9,10.2,309,315,29.2,1,0.0,190.0,22.0,168.0,30.9
2021-10-16 16:00:00+07:00,66.662,26.616,25.0,87,22.8,29.7,0.2,0.2,51,1008.3,973.3,93,12,87,99,0.4,4.5,6.3,284,283,23.4,1,0.0,128.0,24.0,104.0,43.9
2021-10-16 17:00:00+07:00,14.043,26.227,24.6,91,23.0,29.1,0.0,0.0,3,1008.6,973.6,100,12,100,99,0.28,6.6,9.5,311,307,12.2,1,0.0,89.0,18.0,71.0,52.8
2021-10-16 18:00:00+07:00,0.113,25.763,23.6,95,22.7,28.3,0.2,0.2,51,1009.8,974.6,100,35,100,100,0.15,4.4,5.4,9,356,21.6,1,0.0,25.0,0.0,25.0,0.0
2021-10-16 19:00:00+07:00,0.061,25.384,24.1,94,23.1,29.2,0.8,0.8,53,1010.1,975.0,82,10,72,100,0.17,2.9,3.2,330,270,19.4,0,0.0,0.0,0.0,0.0,0.0
2021-10-16 20:00:00+07:00,0.061,25.434,23.7,93,22.6,27.7,0.7,0.7,53,1011.4,976.2,100,13,100,100,0.2,8.5,11.1,332,331,17.6,0,0.0,0.0,0.0,0.0,0.0
2021-10-16 21:00:00+07:00,0.056,25.473,23.2,95,22.3,27.1,0.5,0.5,53,1012.4,977.1,100,20,100,100,0.14,7.7,11.2,323,327,15.5,0,0.0,0.0,0.0,0.0,0.0
2021-10-16 22:00:00+07:00,0.059,25.401,23.0,94,22.0,26.7,0.8,0.8,53,1012.8,977.5,100,44,96,100,0.17,8.7,14.6,308,322,26.6,0,0.0,0.0,0.0,0.0,0.0
2021-10-16 23:00:00+07:00,0.06,25.29,23.0,94,21.9,26.7,0.1,0.1,51,1013.1,977.7,98,16,90,99,0.18,7.4,15.6,293,310,15.8,0,0.0,0.0,0.0,0.0,0.0
2021-10-17 00:00:00+07:00,0.055,25.174,23.0,94,22.0,26.9,0.4,0.4,51,1012.9,977.6,100,54,100,98,0.17,7.0,14.9,291,307,23.8,0,0.0,0.0,0.0,0.0,0.0
2021-10-17 01:00:00+07:00,0.059,25.505,23.1,94,22.1,27.3,0.5,0.5,53,1012.5,977.2,100,51,72,100,0.17,5.4,12.0,323,327,21.6,0,0.0,0.0,0.0,0.0,0.0
2021-10-17 02:00:00+07:00,0.058,25.317,23.0,94,22.0,27.0,0.4,0.4,51,1012.1,976.8,100,28,86,100,0.17,6.6,13.8,331,340,18.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-17 03:00:00+07:00,0.049,24.56,22.9,94,21.9,26.7,0.2,0.2,51,1011.6,976.3,98,16,89,100,0.16,7.8,15.9,338,347,14.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-17 04:00:00+07:00,0.048,23.168,22.7,94,21.6,25.8,0.3,0.3,51,1011.2,975.9,86,14,72,100,0.18,11.2,20.2,327,341,19.4,0,0.0,0.0,0.0,0.0,0.0
2021-10-17 05:00:00+07:00,0.048,22.833,22.6,91,21.1,25.1,0.1,0.1,51,1011.4,976.1,100,32,77,100,0.24,13.1,22.8,328,342,23.4,0,0.0,0.0,0.0,0.0,0.0
2021-10-17 06:00:00+07:00,10.865,22.934,22.6,90,20.8,24.9,0.0,0.0,3,1012.3,976.9,100,26,86,100,0.29,13.6,21.9,323,340,24.1,0,0.0,0.0,0.0,0.0,0.0
2021-10-17 07:00:00+07:00,39.638,24.226,22.8,91,21.3,25.5,0.0,0.0,2,1012.7,977.3,72,23,35,100,0.25,12.5,21.6,319,332,23.8,1,0.0,10.0,0.0,10.0,0.0
2021-10-17 08:00:00+07:00,113.075,26.687,24.2,88,22.0,27.3,0.0,0.0,2,1013.9,978.7,76,19,49,98,0.38,12.4,21.7,330,339,23.8,1,2323.23,134.0,37.0,97.0,137.4
2021-10-17 09:00:00+07:00,241.986,32.904,25.1,78,20.9,27.6,0.0,0.0,2,1014.6,979.4,66,17,34,100,0.71,12.4,17.2,334,340,25.6,1,3600.0,324.0,158.0,166.0,326.2
2021-10-17 10:00:00+07:00,201.181,33.756,25.5,76,21.0,28.1,0.0,0.0,2,1014.8,979.7,74,31,27,100,0.78,12.2,16.3,341,346,25.6,1,3600.0,414.0,166.0,248.0,250.4
2021-10-17 11:00:00+07:00,152.802,32.379,26.5,71,20.8,29.3,0.0,0.0,2,1014.4,979.4,63,13,35,100,1.01,10.9,14.3,326,332,25.9,1,3600.0,568.0,302.0,266.0,380.9
2021-10-17 12:00:00+07:00,185.97,33.186,27.5,66,20.5,31.0,0.1,0.1,51,1013.2,978.4,60,10,35,100,1.26,9.2,12.3,312,320,23.8,1,3600.0,670.0,385.0,285.0,445.0
2021-10-17 13:00:00+07:00,200.377,35.347,28.2,63,20.4,32.0,0.1,0.1,51,1012.1,977.4,74,8,61,100,1.43,6.2,7.9,260,273,20.2,1,3600.0,658.0,378.0,280.0,432.1
2021-10-17 14:00:00+07:00,222.909,35.428,28.1,63,20.5,32.2,0.0,0.0,1,1011.1,976.4,48,1,32,92,1.4,3.5,4.9,246,253,15.5,1,3600.0,624.0,380.0,244.0,462.7
2021-10-17 15:00:00+07:00,261.485,38.963,28.1,64,20.6,31.6,0.0,0.0,2,1010.1,975.4,53,4,46,72,1.38,5.0,6.5,330,326,12.6,1,3600.0,480.0,284.0,196.0,401.0
2021-10-17 16:00:00+07:00,57.078,31.039,28.1,65,20.8,31.8,0.0,0.0,1,1009.7,975.0,37,7,33,35,1.35,3.9,5.8,338,338,12.6,1,3600.0,371.0,232.0,139.0,427.1
2021-10-17 17:00:00+07:00,31.184,28.6,27.8,72,22.2,32.3,0.0,0.0,1,1009.7,975.0,42,15,25,45,1.06,3.7,8.3,349,358,9.7,1,3600.0,224.0,136.0,88.0,402.7
2021-10-17 18:00:00+07:00,0.311,26.337,25.7,78,21.5,29.4,0.0,0.0,2,1010.4,975.4,56,17,30,76,0.74,6.2,12.6,350,13,9.7,1,1546.55,48.0,21.0,27.0,140.8
2021-10-17 19:00:00+07:00,0.062,25.831,25.0,72,19.7,27.7,0.0,0.0,1,1012.0,976.9,39,1,16,95,0.88,7.2,16.3,333,352,11.9,0,0.0,0.0,0.0,0.0,0.0
2021-10-17 20:00:00+07:00,0.059,25.636,24.4,71,18.7,26.3,0.0,0.0,0,1012.9,977.7,16,3,11,21,0.89,9.2,18.2,334,351,16.9,0,0.0,0.0,0.0,0.0,0.0
2021-10-17 21:00:00+07:00,0.057,25.241,23.8,73,18.6,25.6,0.0,0.0,0,1013.8,978.5,13,3,9,15,0.8,9.1,18.3,326,340,16.9,0,0.0,0.0,0.0,0.0,0.0
2021-10-17 22:00:00+07:00,0.055,24.088,23.5,73,18.4,25.2,0.0,0.0,0,1014.1,978.8,15,0,18,13,0.78,8.9,19.8,328,335,16.2,0,0.0,0.0,0.0,0.0,0.0
2021-10-17 23:00:00+07:00,0.052,23.926,23.3,74,18.3,24.9,0.0,0.0,0,1014.0,978.6,2,0,3,0,0.76,9.5,20.9,331,331,17.6,0,0.0,0.0,0.0,0.0,0.0
2021-10-18 00:00:00+07:00,0.054,23.455,22.9,75,18.3,24.4,0.0,0.0,3,1013.6,978.2,89,0,100,95,0.69,10.6,22.2,332,331,19.8,0,0.0,0.0,0.0,0.0,0.0
2021-10-18 01:00:00+07:00,0.054,23.792,23.0,75,18.4,24.5,0.0,0.0,3,1013.3,977.9,88,0,99,96,0.69,11.0,21.7,328,333,20.2,0,0.0,0.0,0.0,0.0,0.0
2021-10-18 02:00:00+07:00,0.056,23.932,22.8,76,18.2,23.9,0.0,0.0,2,1012.5,977.1,76,0,79,96,0.68,12.8,24.7,322,331,23.4,0,0.0,0.0,0.0,0.0,0.0
2021-10-18 03:00:00+07:00,0.056,24.032,22.7,74,17.9,23.6,0.0,0.0,1,1012.3,976.9,33,0,5,100,0.71,13.3,25.5,322,329,24.5,0,0.0,0.0,0.0,0.0,0.0
2021-10-18 04:00:00+07:00,0.049,23.764,22.1,75,17.5,23.0,0.0,0.0,1,1012.0,976.6,29,0,1,96,0.66,12.5,24.6,327,335,24.1,0,0.0,0.0,0.0,0.0,0.0
2021-10-18 05:00:00+07:00,0.049,23.772,22.0,75,17.4,22.7,0.0,0.0,1,1011.9,976.5,38,0,16,94,0.66,13.2,25.0,325,337,24.1,0,0.0,0.0,0.0,0.0,0.0
2021-10-18 06:00:00+07:00,6.572,23.782,22.1,74,17.2,22.7,0.0,0.0,3,1012.4,977.0,83,0,100,76,0.7,13.3,25.1,322,333,24.5,0,0.0,0.0,0.0,0.0,0.0
2021-10-18 07:00:00+07:00,50.605,23.406,22.6,74,17.8,23.8,0.0,0.0,3,1013.9,978.5,90,0,100,100,0.7,10.7,20.8,320,334,24.5,1,0.0,15.0,3.0,12.0,26.7
2021-10-18 08:00:00+07:00,142.006,27.727,23.0,76,18.5,24.6,0.0,0.0,2,1014.5,979.1,54,1,89,0,0.69,10.7,20.4,320,334,20.2,1,0.0,43.0,2.0,41.0,7.5
2021-10-18 09:00:00+07:00,461.034,38.3,24.4,70,18.6,25.9,0.0,0.0,1,1014.8,979.5,43,1,21,99,0.91,11.3,16.0,333,337,22.7,1,3600.0,295.0,176.0,119.0,364.8
2021-10-18 10:00:00+07:00,906.163,54.987,25.6,69,19.5,27.5,0.0,0.0,0,1014.9,979.8,16,0,25,2,1.02,11.8,15.9,340,342,25.6,1,3600.0,554.0,400.0,154.0,605.4
2021-10-18 11:00:00+07:00,1017.642,61.314,26.6,68,20.2,30.3,0.0,0.0,0,1014.2,979.2,20,0,33,0,1.11,8.4,11.2,335,339,25.2,1,3600.0,715.0,515.0,200.0,651.7
2021-10-18 12:00:00+07:00,983.499,63.578,27.3,67,20.7,32.0,0.0,0.0,0,1013.1,978.2,20,3,28,0,1.2,5.1,6.7,315,324,20.2,1,3600.0,744.0,518.0,226.0,600.8
2021-10-18 13:00:00+07:00,896.1,61.804,28.2,65,21.0,33.4,0.0,0.0,1,1012.2,977.5,24,0,33,14,1.33,3.6,4.8,307,312,16.6,1,3600.0,766.0,540.0,226.0,619.5
2021-10-18 14:00:00+07:00,512.253,55.862,28.6,64,21.2,33.4,0.0,0.0,1,1011.2,976.5,32,2,49,1,1.39,2.5,3.6,8,6,13.3,1,3600.0,657.0,441.0,216.0,539.1
2021-10-18 15:00:00+07:00,210.336,42.06,28.6,65,21.4,32.5,0.0,0.0,2,1010.7,976.1,64,2,67,73,1.35,4.4,4.9,81,73,11.9,1,3600.0,492.0,295.0,197.0,418.5
2021-10-18 16:00:00+07:00,57.455,36.007,28.0,68,21.6,32.1,0.0,0.0,1,1010.6,975.9,44,2,37,67,1.2,3.5,4.1,114,105,13.3,1,3600.0,367.0,201.0,166.0,372.2
2021-10-18 17:00:00+07:00,16.229,28.597,27.2,73,22.0,31.7,0.0,0.0,1,1010.7,975.9,26,3,38,0,0.96,3.3,5.4,186,188,10.1,1,3600.0,209.0,114.0,95.0,340.7
2021-10-18 18:00:00+07:00,0.135,28.591,25.9,81,22.4,30.4,0.0,0.0,1,1011.2,976.2,44,4,42,51,0.64,4.3,7.2,204,207,7.2,0,1672.19,49.0,22.0,27.0,149.0
2021-10-18 19:00:00+07:00,0.078,27.551,25.5,82,22.1,29.6,0.3,0.3,51,1011.9,976.9,89,8,100,72,0.6,6.2,8.4,126,133,6.8,0,0.0,0.0,0.0,0.0,0.0
2021-10-18 20:00:00+07:00,0.074,27.34,26.6,71,21.0,30.4,0.0,0.0,1,1013.1,978.2,45,1,49,50,0.99,3.4,6.2,108,170,9.4,0,0.0,0.0,0.0,0.0,0.0
2021-10-18 21:00:00+07:00,0.071,26.416,25.2,82,21.9,29.6,0.0,0.0,2,1014.2,979.1,65,15,86,0,0.59,3.3,5.4,103,160,5.8,0,0.0,0.0,0.0,0.0,0.0
2021-10-18 22:00:00+07:00,0.068,26.549,25.3,77,21.1,29.5,0.0,0.0,2,1015.0,979.8,53,5,76,8,0.73,1.5,4.7,315,203,5.8,0,0.0,0.0,0.0,0.0,0.0
2021-10-18 23:00:00+07:00,0.067,26.006,24.3,87,22.0,28.7,0.3,0.3,51,1015.1,979.8,100,100,100,15,0.39,3.3,6.8,283,252,5.4,0,0.0,0.0,0.0,0.0,0.0
2021-10-19 00:00:00+07:00,0.07,26.414,24.2,86,21.6,28.2,0.0,0.0,1,1015.0,979.7,31,12,34,0,0.43,4.7,6.1,238,230,7.6,0,0.0,0.0,0.0,0.0,0.0
2021-10-19 01:00:00+07:00,0.069,26.38,23.5,87,21.2,27.4,0.0,0.0,2,1015.2,979.8,60,13,79,3,0.37,3.6,8.7,174,187,7.6,0,0.0,0.0,0.0,0.0,0.0
2021-10-19 02:00:00+07:00,0.068,26.245,23.4,92,22.0,27.9,0.2,0.2,51,1014.7,979.3,100,14,100,100,0.23,2.8,5.8,230,210,19.8,0,0.0,0.0,0.0,0.0,0.0
2021-10-19 03:00:00+07:00,0.065,25.603,23.3,94,22.3,28.1,0.6,0.6,53,1014.4,979.0,100,26,100,85,0.18,1.8,3.6,90,143,14.0,0,0.0,0.0,0.0,0.0,0.0
2021-10-19 04:00:00+07:00,0.069,25.403,23.2,92,21.9,27.8,0.1,0.1,51,1014.1,978.7,100,42,100,69,0.22,1.8,3.3,349,347,13.7,0,0.0,0.0,0.0,0.0,0.0
2021-10-19 05:00:00+07:00,0.065,25.511,23.2,91,21.7,27.3,0.0,0.0,3,1014.1,978.7,91,23,100,33,0.25,4.8,10.2,318,321,8.6,0,0.0,0.0,0.0,0.0,0.0
2021-10-19 06:00:00+07:00,4.31,25.5,23.1,92,21.7,27.0,0.0,0.0,3,1014.4,979.0,100,50,100,50,0.23,5.4,12.0,307,321,10.1,0,0.0,0.0,0.0,0.0,0.0
2021-10-19 07:00:00+07:00,33.091,26.542,23.4,93,22.1,27.5,0.2,0.2,51,1015.3,979.9,100,100,100,93,0.21,5.6,10.4,315,326,10.1,1,0.0,9.0,0.0,9.0,0.0
2021-10-19 08:00:00+07:00,36.406,26.722,23.9,91,22.3,28.2,0.4,0.4,51,1016.1,980.7,97,14,100,81,0.26,4.9,8.6,324,327,21.6,1,0.0,55.0,5.0,50.0,18.8
2021-10-19 09:00:00+07:00,100.854,26.286,24.6,89,22.6,29.3,0.4,0.4,51,1016.5,981.2,85,4,94,82,0.35,3.9,5.4,304,312,11.5,1,1821.46,203.0,58.0,145.0,120.7
2021-10-19 10:00:00+07:00,276.462,34.533,24.9,86,22.5,29.7,2.2,2.2,61,1016.9,981.6,100,77,86,78,0.43,3.0,4.0,256,265,11.2,1,1708.37,273.0,77.0,196.0,116.9
2021-10-19 11:00:00+07:00,478.279,43.068,25.9,82,22.5,30.7,0.2,0.2,51,1016.1,981.0,33,23,10,21,0.61,2.6,3.6,254,264,21.2,1,1361.29,352.0,83.0,269.0,105.4
2021-10-19 12:00:00+07:00,424.14,43.293,27.2,78,23.0,32.3,0.3,0.3,51,1015.1,980.2,78,19,100,2,0.81,3.8,5.0,163,159,19.1,1,3600.0,580.0,287.0,293.0,334.0
2021-10-19 13:00:00+07:00,353.901,42.405,26.4,82,23.2,31.1,0.2,0.2,51,1014.2,979.2,35,2,15,82,0.61,6.1,8.3,183,185,19.8,1,306.82,329.0,61.0,268.0,70.2
2021-10-19 14:00:00+07:00,306.026,45.791,27.9,79,23.8,34.5,0.0,0.0,1,1012.7,977.9,46,13,11,92,0.8,5.3,6.6,152,151,22.7,1,3600.0,773.0,588.0,185.0,721.6
2021-10-19 15:00:00+07:00,273.641,44.384,27.8,79,23.9,33.3,0.1,0.1,51,1011.8,977.0,38,8,9,86,0.77,3.6,4.6,135,135,22.7,1,3600.0,549.0,373.0,176.0,531.6
2021-10-19 16:00:00+07:00,248.024,40.18,27.9,78,23.7,33.2,0.1,0.1,51,1011.3,976.6,46,11,13,96,0.83,4.1,4.8,165,167,18.7,1,3600.0,358.0,212.0,146.0,395.0
2021-10-19 17:00:00+07:00,51.502,33.395,27.3,81,23.7,32.3,0.4,0.4,51,1011.7,976.9,49,2,35,88,0.71,6.1,9.0,180,178,19.1,1,3600.0,206.0,100.0,106.0,301.7
2021-10-19 18:00:00+07:00,0.366,28.488,25.6,89,23.6,30.8,0.4,0.4,51,1012.8,977.8,58,14,28,94,0.37,4.3,10.8,222,210,16.6,0,1164.56,45.0,18.0,27.0,123.2
2021-10-19 19:00:00+07:00,0.077,27.468,24.2,96,23.5,29.7,0.0,0.0,2,1013.5,978.3,62,29,13,95,0.12,1.8,3.3,281,229,11.2,0,0.0,0.0,0.0,0.0,0.0
2021-10-19 20:00:00+07:00,0.078,27.743,23.9,97,23.5,29.3,0.1,0.1,51,1014.4,979.1,58,14,28,97,0.08,2.8,7.0,220,201,11.5,0,0.0,0.0,0.0,0.0,0.0
2021-10-19 20:00:00+07:00,0.078,27.743,23.9,97,23.5,29.3,0.1,0.1,51,1014.4,979.1,58,14,28,97,0.08,2.8,7.0,220,201,11.5,0,0.0,0.0,0.0,0.0,0.0
2021-10-19 21:00:00+07:00,0.071,26.806,24.1,94,23.1,29.3,0.2,0.2,51,1015.1,979.8,50,10,23,91,0.17,2.3,6.8,231,198,7.6,0,0.0,0.0,0.0,0.0,0.0
2021-10-19 22:00:00+07:00,0.066,25.015,24.8,87,22.5,29.7,0.0,0.0,2,1015.7,980.5,65,14,45,86,0.4,1.8,3.4,259,212,5.8,0,0.0,0.0,0.0,0.0,0.0
2021-10-19 23:00:00+07:00,0.069,25.236,24.1,92,22.7,28.9,0.6,0.6,53,1016.2,980.9,82,39,36,86,0.23,3.1,6.5,159,183,11.5,0,0.0,0.0,0.0,0.0,0.0
2021-10-20 00:00:00+07:00,0.07,25.426,23.6,93,22.4,28.4,0.0,0.0,1,1015.9,980.5,44,14,2,99,0.2,2.5,2.6,98,164,6.8,0,0.0,0.0,0.0,0.0,0.0
2021-10-20 01:00:00+07:00,0.069,25.37,23.2,96,22.5,27.9,0.0,0.0,2,1015.5,980.1,60,26,17,88,0.12,3.2,4.1,117,135,5.8,0,0.0,0.0,0.0,0.0,0.0
2021-10-20 02:00:00+07:00,0.071,25.332,22.9,96,22.1,27.1,0.4,0.4,51,1015.5,980.0,100,100,100,91,0.12,5.1,9.2,141,141,11.9,0,0.0,0.0,0.0,0.0,0.0
2021-10-20 03:00:00+07:00,0.065,25.474,22.9,95,22.1,27.7,0.3,0.3,51,1014.8,979.4,57,13,30,90,0.13,1.3,2.6,304,214,16.6,0,0.0,0.0,0.0,0.0,0.0
2021-10-20 04:00:00+07:00,0.072,25.636,23.0,93,21.8,27.5,0.0,0.0,1,1014.8,979.4,48,12,18,88,0.19,1.8,0.7,349,360,4.7,0,0.0,0.0,0.0,0.0,0.0
2021-10-20 05:00:00+07:00,0.071,25.298,22.3,95,21.5,26.5,0.0,0.0,1,1014.8,979.3,48,18,4,98,0.13,3.3,2.3,319,18,4.3,0,0.0,0.0,0.0,0.0,0.0
2021-10-20 06:00:00+07:00,13.566,25.379,21.7,97,21.2,25.5,0.0,0.0,1,1015.3,979.7,34,8,0,91,0.09,4.4,3.3,305,354,6.1,0,0.0,0.0,0.0,0.0,0.0
2021-10-20 07:00:00+07:00,81.405,28.391,23.1,95,22.3,27.9,0.0,0.0,0,1015.8,980.4,7,5,2,4,0.14,2.3,0.7,288,270,6.5,1,0.0,21.0,6.0,15.0,54.2
2021-10-20 08:00:00+07:00,154.946,33.669,24.7,88,22.6,29.7,0.0,0.0,0,1016.7,981.4,10,10,0,2,0.36,1.6,2.3,297,288,8.3,1,3600.0,183.0,109.0,74.0,412.5
