id,Usage,timestamp,actual_0,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,actual_7,actual_8,actual_9,actual_10,actual_11,actual_12,actual_13,actual_14,actual_15,actual_16,actual_17,actual_18,actual_19,actual_20,actual_21,actual_22,actual_23
27,Public,2023-11-19 23:00:00+07:00,0.015,0.013,0.009,0.006,0.008,0.005,0.006,7.381,99.975,290.434,470.767,601.681,667.098,662.159,590.321,473.437,285.66,69.642,14.563,0.056,0.035,0.039,0.028,0.015
28,Public,2023-10-07 15:00:00+07:00,224.476,122.37,55.404,0.817,0.047,0.046,0.043,0.039,0.037,0.031,0.03,0.026,0.026,0.033,0.036,16.218,105.039,218.405,405.951,570.473,800.542,454.868,272.4,152.421
29,Public,2023-12-19 09:00:00+07:00,370.835,506.74,597.414,505.368,503.909,429.414,262.226,105.272,19.177,0.145,0.026,0.023,0.025,0.014,0.008,0.007,0.004,0.004,0.004,0.001,0.005,1.813,52.811,206.293
30,Public,2023-06-19 13:00:00+07:00,387.396,714.549,679.801,395.304,113.861,28.426,0.241,0.028,0.028,0.024,0.026,0.02,0.019,0.017,0.012,0.016,1.597,65.995,142.674,257.876,482.699,759.635,809.407,722.921
31,Public,2023-07-03 23:00:00+07:00,0.008,0.013,0.009,0.008,0.011,0.006,0.691,35.994,84.105,273.094,400.986,492.015,536.353,622.294,670.245,441.259,275.402,374.531,87.515,14.558,0.218,0.007,0.004,0.003
32,Public,2023-07-12 02:00:00+07:00,0.008,0.007,0.011,1.424,65.04,268.788,553.64,724.468,474.589,302.249,364.353,828.149,449.753,175.681,105.941,48.391,12.262,0.164,0.008,0.009,0.008,0.006,0.015,0.012
33,Public,2023-05-06 13:00:00+07:00,811.905,681.443,531.047,325.329,136.046,20.193,0.064,0.019,0.017,0.011,0.011,0.011,0.01,0.008,0.007,0.007,1.05,61.03,247.393,465.536,653.802,793.309,886.287,890.141
34,Public,2023-07-03 13:00:00+07:00,456.418,577.099,292.838,73.734,55.452,43.59,0.307,0.006,0.005,0.011,0.008,0.013,0.009,0.008,0.011,0.006,0.691,35.994,84.105,273.094,400.986,492.015,536.353,622.294
35,Public,2023-07-25 06:00:00+07:00,27.006,260.874,417.545,545.86,888.765,836.994,851.029,556.862,490.531,394.932,252.473,220.464,44.214,0.623,0.038,0.032,0.03,0.037,0.039,0.02,0.009,0.006,0.007,0.254
36,Public,2023-12-12 20:00:00+07:00,0.016,0.016,0.01,0.006,0.006,0.002,0.002,0.002,0.002,0.002,1.971,57.02,202.152,363.146,488.155,557.649,568.045,522.444,379.93,221.802,96.006,17.181,0.056,0.038
37,Public,2023-08-26 23:00:00+07:00,0.03,0.033,0.027,0.028,0.025,0.026,0.051,9.44,67.28,192.576,321.592,496.108,533.691,310.291,172.2,323.123,349.755,234.135,111.242,19.06,0.035,0.034,0.048,0.046
38,Public,2023-07-25 17:00:00+07:00,220.464,44.214,0.623,0.038,0.032,0.03,0.037,0.039,0.02,0.009,0.006,0.007,0.254,26.114,141.879,389.796,489.549,745.634,940.727,932.364,155.11,363.377,424.763,325.014
39,Public,2023-11-09 11:00:00+07:00,689.934,690.837,552.561,400.561,311.46,104.833,21.595,0.067,0.021,0.019,0.019,0.02,0.014,0.011,0.012,0.008,0.009,0.007,0.005,11.356,119.855,311.882,491.179,624.672
40,Public,2023-11-20 18:00:00+07:00,0.056,0.035,0.039,0.028,0.015,0.019,0.018,0.008,0.008,0.017,0.013,0.007,7.274,94.258,278.94,457.901,590.855,671.251,683.852,628.938,465.868,251.505,124.57,16.362
41,Public,2023-05-11 18:00:00+07:00,22.727,0.056,0.037,0.038,0.036,0.025,0.029,0.025,0.029,0.028,0.024,1.143,28.644,72.933,88.106,168.195,297.093,568.021,981.908,731.585,695.733,129.764,168.334,83.428
42,Public,2023-07-03 21:00:00+07:00,0.005,0.011,0.008,0.013,0.009,0.008,0.011,0.006,0.691,35.994,84.105,273.094,400.986,492.015,536.353,622.294,670.245,441.259,275.402,374.531,87.515,14.558,0.218,0.007
43,Public,2023-05-02 21:00:00+07:00,0.006,0.005,0.006,0.008,0.007,0.002,0.004,0.004,0.68,46.023,253.947,477.175,677.777,814.551,892.459,922.269,780.846,616.03,341.87,307.149,75.64,21.792,0.028,0.014
44,Public,2023-11-15 12:00:00+07:00,666.836,417.345,434.259,305.744,89.822,21.496,0.052,0.034,0.034,0.029,0.023,0.014,0.015,0.013,0.009,0.019,0.016,0.01,10.076,115.852,287.355,457.104,585.513,601.179
45,Public,2023-10-13 03:00:00+07:00,0.012,0.015,0.016,16.118,94.529,194.143,497.268,616.528,826.644,423.799,359.633,459.729,296.661,185.841,52.117,0.433,0.043,0.045,0.038,0.015,0.015,0.015,0.015,0.016
46,Public,2023-04-21 10:00:00+07:00,683.184,782.769,810.35,777.082,520.661,247.721,94.722,71.377,36.916,0.033,0.025,0.021,0.021,0.017,0.021,0.021,0.017,0.02,0.011,0.147,30.091,146.783,321.948,493.03
47,Public,2023-10-03 20:00:00+07:00,0.048,0.039,0.04,0.043,0.039,0.037,0.032,0.021,0.024,0.036,28.786,206.123,430.097,632.064,761.185,835.618,841.622,784.049,522.689,236.38,101.255,57.982,0.874,0.051
48,Public,2023-08-28 00:00:00+07:00,0.03,0.037,0.035,0.037,0.046,0.053,11.588,109.388,291.199,524.544,699.342,299.018,261.295,386.144,616.295,460.352,159.699,66.489,9.765,0.048,0.042,0.041,0.04,0.039
49,Public,2023-07-14 01:00:00+07:00,0.036,0.032,0.027,0.029,0.912,76.18,172.219,304.374,678.473,934.454,699.16,921.844,738.441,284.107,299.694,364.031,140.227,41.492,0.562,0.03,0.043,0.042,0.043,0.045
50,Public,2023-12-23 02:00:00+07:00,0.009,0.005,0.007,0.009,1.144,49.34,145.119,373.238,478.84,602.869,510.308,518.327,386.559,206.199,109.694,21.619,0.266,0.011,0.008,0.008,0.005,0.004,0.003,0.003
51,Public,2023-12-25 16:00:00+07:00,111.889,23.882,0.218,0.015,0.009,0.01,0.008,0.002,0.002,0.001,0.002,0.003,0.001,0.001,1.158,47.931,191.71,360.251,498.326,578.212,592.583,544.395,434.61,275.071
52,Public,2023-12-10 09:00:00+07:00,325.688,528.683,610.503,573.635,526.263,427.192,269.81,108.586,20.148,0.061,0.014,0.013,0.011,0.011,0.009,0.008,0.011,0.008,0.009,0.01,0.008,2.692,55.491,222.015
53,Public,2023-11-17 20:00:00+07:00,0.024,0.024,0.017,0.024,0.03,0.026,0.021,0.017,0.019,0.014,11.813,106.637,319.145,480.886,601.071,668.156,667.571,596.816,463.076,283.162,104.346,15.379,0.036,0.014
54,Public,2023-05-19 17:00:00+07:00,83.594,33.243,0.188,0.02,0.02,0.018,0.014,0.012,0.013,0.015,0.013,0.012,2.003,77.613,280.636,509.205,703.867,849.71,926.687,941.262,829.359,685.07,543.543,377.568
55,Public,2023-06-06 10:00:00+07:00,779.063,985.405,752.721,447.728,87.861,171.736,179.685,108.64,17.119,0.122,0.038,0.036,0.013,0.009,0.012,0.013,0.012,0.014,0.012,1.827,29.806,52.412,198.025,386.366
56,Public,2023-08-26 08:00:00+07:00,421.463,575.631,296.369,386.222,327.948,441.985,310.433,382.537,235.626,65.132,9.507,0.048,0.037,0.042,0.04,0.03,0.033,0.027,0.028,0.025,0.026,0.051,9.44,67.28
57,Public,2023-09-13 01:00:00+07:00,0.026,0.028,0.028,0.03,0.036,11.459,93.239,172.153,357.059,247.729,657.835,305.52,331.068,503.144,287.46,73.443,19.512,2.011,0.008,0.007,0.007,0.008,0.011,0.012
58,Public,2023-10-19 11:00:00+07:00,541.506,614.329,570.918,436.678,321.633,218.236,40.63,0.195,0.028,0.024,0.023,0.021,0.021,0.018,0.016,0.017,0.017,0.015,0.021,21.914,169.708,380.232,563.859,698.429
59,Public,2023-12-27 01:00:00+07:00,0.003,0.003,0.004,0.001,0.003,1.094,45.539,184.57,352.991,489.201,572.611,591.728,538.569,426.403,271.48,109.398,22.05,0.259,0.011,0.008,0.007,0.004,0.005,0.002
60,Public,2023-09-07 20:00:00+07:00,0.053,0.027,0.017,0.015,0.012,0.017,0.022,0.018,0.027,0.047,28.742,185.112,324.756,721.73,723.419,718.5,885.122,977.166,720.249,432.381,82.873,63.455,11.078,0.046
61,Public,2023-05-04 17:00:00+07:00,119.341,38.487,0.043,0.018,0.012,0.009,0.018,0.013,0.015,0.016,0.01,0.008,0.903,60.837,247.202,461.511,664.672,806.068,883.406,896.789,830.698,428.537,197.487,320.625
62,Public,2023-11-20 10:00:00+07:00,601.681,667.098,662.159,590.321,473.437,285.66,69.642,14.563,0.056,0.035,0.039,0.028,0.015,0.019,0.018,0.008,0.008,0.017,0.013,0.007,7.274,94.258,278.94,457.901
63,Public,2023-11-04 02:00:00+07:00,0.016,0.013,0.015,0.01,10.058,133.7,329.096,508.29,639.551,728.701,662.878,627.775,348.631,303.627,182.935,25.643,0.12,0.044,0.041,0.03,0.024,0.024,0.016,0.019
64,Public,2023-10-25 02:00:00+07:00,0.016,0.013,0.011,0.009,15.838,132.948,226.492,528.257,673.573,596.581,751.22,618.034,559.558,393.808,155.9,25.596,0.137,0.051,0.045,0.045,0.026,0.022,0.031,0.027
65,Public,2023-11-04 09:00:00+07:00,508.29,639.551,728.701,662.878,627.775,348.631,303.627,182.935,25.643,0.12,0.044,0.041,0.03,0.024,0.024,0.016,0.019,0.013,0.011,0.008,0.011,13.151,137.201,324.979
66,Public,2023-10-28 05:00:00+07:00,0.006,2.429,26.58,90.03,284.691,584.341,772.931,714.658,538.034,493.419,350.043,140.607,20.863,0.069,0.018,0.016,0.014,0.013,0.015,0.029,0.026,0.009,0.013,0.018
67,Public,2023-09-30 09:00:00+07:00,455.863,289.049,495.578,600.72,348.876,220.875,241.495,112.666,54.063,4.582,0.036,0.027,0.012,0.008,0.012,0.015,0.017,0.019,0.023,0.022,0.012,17.12,121.964,441.463
68,Public,2023-07-02 05:00:00+07:00,0.107,7.861,46.227,207.276,498.981,721.265,696.982,976.081,627.355,304.975,513.581,401.571,367.293,70.561,0.567,0.014,0.014,0.016,0.027,0.021,0.021,0.012,0.011,0.018
69,Public,2023-05-19 21:00:00+07:00,0.02,0.018,0.014,0.012,0.013,0.015,0.013,0.012,2.003,77.613,280.636,509.205,703.867,849.71,926.687,941.262,829.359,685.07,543.543,377.568,172.94,33.964,0.183,0.042
70,Public,2023-10-21 12:00:00+07:00,447.987,354.83,376.023,360.585,156.814,17.591,0.128,0.02,0.018,0.012,0.012,0.019,0.017,0.016,0.014,0.021,0.022,0.023,9.544,93.244,176.974,400.496,654.538,647.778
71,Public,2023-06-10 12:00:00+07:00,786.997,707.798,384.946,641.061,184.922,117.398,58.704,0.544,0.054,0.045,0.044,0.042,0.039,0.033,0.03,0.031,0.032,2.551,83.039,291.112,498.404,696.121,799.152,658.594
72,Public,2023-06-08 15:00:00+07:00,588.787,309.942,182.138,62.877,0.488,0.04,0.04,0.044,0.035,0.032,0.028,0.031,0.03,0.035,1.209,37.236,229.796,477.847,511.285,509.956,730.803,642.381,601.45,502.205
73,Public,2023-08-01 21:00:00+07:00,0.033,0.029,0.031,0.03,0.028,0.024,0.03,0.03,0.129,31.034,162.247,220.531,443.667,273.862,436.748,299.142,312.764,132.247,95.3,87.643,57.318,19.102,0.105,0.024
74,Public,2023-04-10 01:00:00+07:00,0.029,0.018,0.02,0.018,0.034,17.589,122.669,295.275,476.824,639.101,740.985,788.062,728.953,594.371,407.27,242.546,89.275,13.477,0.032,0.024,0.028,0.03,0.022,0.024
75,Public,2023-11-14 15:00:00+07:00,319.674,128.111,22.463,0.045,0.028,0.026,0.027,0.025,0.025,0.02,0.023,0.014,0.013,0.011,0.013,13.804,114.458,270.625,422.83,593.055,715.211,666.836,417.345,434.259
76,Public,2023-10-16 23:00:00+07:00,0.012,0.014,0.012,0.017,0.012,0.015,0.015,4.592,50.979,161.203,307.982,570.224,714.643,684.781,587.197,446.63,387.237,159.119,17.005,0.207,0.02,0.014,0.013,0.009
77,Public,2023-08-20 07:00:00+07:00,201.65,339.687,474.75,769.868,705.889,590.32,582.577,471.438,327.837,317.429,120.022,22.678,0.043,0.031,0.026,0.025,0.029,0.032,0.042,0.031,0.031,0.031,0.161,53.731
78,Public,2023-11-23 19:00:00+07:00,0.021,0.02,0.016,0.01,0.007,0.004,0.006,0.007,0.005,0.006,0.004,6.714,89.344,265.341,440.013,570.731,649.859,660.68,641.098,443.17,306.607,76.478,14.671,0.061
79,Public,2023-06-23 03:00:00+07:00,0.034,0.031,1.665,52.107,139.197,192.494,460.01,603.035,666.618,541.603,561.169,416.243,440.701,281.811,237.527,55.216,0.511,0.04,0.042,0.037,0.043,0.038,0.041,0.039
80,Public,2023-12-10 07:00:00+07:00,60.994,213.188,325.688,528.683,610.503,573.635,526.263,427.192,269.81,108.586,20.148,0.061,0.014,0.013,0.011,0.011,0.009,0.008,0.011,0.008,0.009,0.01,0.008,2.692
81,Public,2023-09-30 19:00:00+07:00,0.036,0.027,0.012,0.008,0.012,0.015,0.017,0.019,0.023,0.022,0.012,17.12,121.964,441.463,519.778,560.838,607.966,886.817,916.322,573.382,381.021,132.001,68.911,7.474
82,Public,2023-06-07 13:00:00+07:00,557.418,253.631,424.298,504.032,187.464,44.024,0.18,0.047,0.02,0.02,0.019,0.015,0.017,0.013,0.016,0.015,2.138,43.195,186.641,262.015,682.746,762.639,813.89,825.297
83,Public,2023-07-18 08:00:00+07:00,514.753,714.046,826.111,909.152,992.824,886.676,778.354,638.351,474.094,222.775,36.925,0.655,0.026,0.026,0.023,0.023,0.033,0.029,0.03,0.029,0.028,0.411,46.776,290.835
84,Public,2023-05-13 18:00:00+07:00,28.155,0.039,0.02,0.018,0.007,0.007,0.01,0.01,0.016,0.02,0.022,1.173,83.192,233.933,542.948,635.461,720.609,338.629,540.565,693.861,400.989,417.893,191.021,134.091
85,Public,2023-11-21 15:00:00+07:00,251.505,124.57,16.362,0.052,0.02,0.02,0.012,0.009,0.006,0.009,0.003,0.002,0.002,0.006,0.008,7.261,94.111,272.905,449.299,546.142,499.073,650.775,580.796,457.497
86,Public,2023-06-06 04:00:00+07:00,0.023,2.009,54.233,205.845,528.989,495.994,779.063,985.405,752.721,447.728,87.861,171.736,179.685,108.64,17.119,0.122,0.038,0.036,0.013,0.009,0.012,0.013,0.012,0.014
87,Public,2023-10-26 09:00:00+07:00,515.327,665.669,657.848,579.989,483.737,315.058,184.198,62.678,11.662,0.069,0.042,0.036,0.027,0.026,0.028,0.02,0.022,0.021,0.021,0.014,0.016,13.464,98.728,277.875
88,Public,2023-07-13 08:00:00+07:00,450.444,479.104,361.899,861.847,761.012,817.255,678.796,358.615,524.76,198.544,52.203,0.482,0.041,0.041,0.036,0.043,0.036,0.036,0.032,0.027,0.029,0.912,76.18,172.219
89,Public,2023-08-11 21:00:00+07:00,0.018,0.02,0.021,0.011,0.014,0.014,0.011,0.009,0.087,31.212,187.543,414.103,548.786,818.369,458.224,602.903,276.209,339.464,574.14,324.869,110.698,10.208,0.077,0.035
90,Public,2023-10-23 19:00:00+07:00,0.019,0.02,0.021,0.017,0.015,0.015,0.015,0.013,0.008,0.012,0.009,21.586,142.338,325.107,497.577,605.331,765.697,836.299,524.325,523.404,266.172,123.811,15.816,0.103
91,Public,2023-06-05 19:00:00+07:00,0.059,0.015,0.02,0.024,0.024,0.028,0.023,0.02,0.026,0.023,2.009,54.233,205.845,528.989,495.994,779.063,985.405,752.721,447.728,87.861,171.736,179.685,108.64,17.119
92,Public,2023-07-19 06:00:00+07:00,46.776,290.835,357.315,766.786,803.228,908.423,731.085,747.675,131.349,449.579,487.605,186.922,15.069,0.119,0.021,0.014,0.009,0.011,0.014,0.013,0.014,0.016,0.012,0.306
93,Public,2023-09-13 22:00:00+07:00,0.008,0.011,0.012,0.014,0.014,0.01,0.01,0.014,10.132,62.759,242.482,393.728,462.388,430.845,862.596,767.005,617.222,482.27,183.765,92.467,7.201,0.038,0.038,0.036
94,Public,2023-10-13 19:00:00+07:00,0.043,0.045,0.038,0.015,0.015,0.015,0.015,0.016,0.019,0.022,0.02,6.388,40.173,129.298,376.447,708.934,620.034,646.141,193.597,503.553,112.248,121.582,22.748,0.313
95,Public,2023-07-03 02:00:00+07:00,0.012,0.011,0.018,0.568,72.833,341.782,367.346,450.268,556.506,859.761,904.529,456.418,577.099,292.838,73.734,55.452,43.59,0.307,0.006,0.005,0.011,0.008,0.013,0.009
96,Public,2023-08-10 08:00:00+07:00,223.379,519.161,595.008,574.526,494.398,482.555,393.411,187.708,93.435,98.679,26.103,0.107,0.01,0.012,0.013,0.012,0.009,0.01,0.01,0.013,0.015,0.106,23.57,192.711
97,Public,2023-09-20 02:00:00+07:00,0.023,0.023,0.031,0.044,16.204,184.757,433.918,618.755,715.751,585.585,549.803,658.425,542.532,564.563,77.611,16.133,4.848,0.015,0.016,0.025,0.027,0.029,0.034,0.026
98,Public,2023-12-12 06:00:00+07:00,2.426,60.9,212.884,376.742,508.117,578.787,536.271,352.817,399.346,208.253,61.391,18.369,0.065,0.014,0.016,0.016,0.01,0.006,0.006,0.002,0.002,0.002,0.002,0.002
99,Public,2023-10-26 05:00:00+07:00,0.019,9.245,138.805,338.843,515.327,665.669,657.848,579.989,483.737,315.058,184.198,62.678,11.662,0.069,0.042,0.036,0.027,0.026,0.028,0.02,0.022,0.021,0.021,0.014
100,Public,2023-04-16 18:00:00+07:00,0.222,0.024,0.018,0.016,0.014,0.028,0.02,0.018,0.018,0.017,0.015,10.895,94.611,251.074,422.215,576.196,689.196,750.112,720.612,644.36,500.069,343.035,126.784,20.668
101,Public,2023-05-04 12:00:00+07:00,919.268,830.891,449.872,75.967,115.079,119.341,38.487,0.043,0.018,0.012,0.009,0.018,0.013,0.015,0.016,0.01,0.008,0.903,60.837,247.202,461.511,664.672,806.068,883.406
102,Public,2023-11-25 01:00:00+07:00,0.007,0.013,0.021,0.022,0.015,3.555,83.144,265.111,435.948,562.097,596.054,673.016,437.347,417.772,256.849,114.514,16.236,0.052,0.029,0.028,0.018,0.009,0.004,0.006
103,Public,2023-12-16 05:00:00+07:00,0.003,2.189,56.793,211.792,384.883,520.715,597.191,608.817,524.105,427.514,268.579,99.687,17.858,0.116,0.023,0.016,0.013,0.013,0.008,0.004,0.002,0.003,0.002,0.003
104,Public,2023-12-14 12:00:00+07:00,497.438,504.646,413.068,230.524,101.045,16.919,0.136,0.028,0.027,0.023,0.017,0.02,0.014,0.006,0.006,0.005,0.003,0.005,2.062,50.858,199.545,360.422,504.856,579.682
105,Public,2023-05-11 22:00:00+07:00,0.036,0.025,0.029,0.025,0.029,0.028,0.024,1.143,28.644,72.933,88.106,168.195,297.093,568.021,981.908,731.585,695.733,129.764,168.334,83.428,15.321,0.021,0.01,0.015
106,Public,2023-04-07 23:00:00+07:00,0.042,0.034,0.035,0.033,0.026,0.025,0.03,16.571,98.373,215.114,365.191,556.809,674.236,710.85,715.876,617.222,446.392,204.002,82.67,17.389,0.039,0.023,0.021,0.015
107,Public,2023-07-21 07:00:00+07:00,183.978,494.868,789.208,852.778,646.211,773.955,706.768,769.737,588.551,302.784,175.04,33.593,0.215,0.006,0.009,0.011,0.015,0.012,0.012,0.015,0.015,0.013,0.666,52.871
108,Public,2023-05-29 01:00:00+07:00,0.03,0.028,0.02,0.019,0.799,46.957,146.146,238.304,254.537,354.003,788.49,556.536,319.887,403.592,504.849,279.706,90.973,32.412,0.118,0.013,0.016,0.016,0.024,0.021
109,Public,2023-10-17 15:00:00+07:00,387.237,159.119,17.005,0.207,0.02,0.014,0.013,0.009,0.014,0.013,0.006,0.008,0.007,0.006,0.005,18.822,115.582,355.64,544.662,683.511,581.766,758.588,710.532,571.276
110,Public,2023-04-16 22:00:00+07:00,0.014,0.028,0.02,0.018,0.018,0.017,0.015,10.895,94.611,251.074,422.215,576.196,689.196,750.112,720.612,644.36,500.069,343.035,126.784,20.668,0.326,0.022,0.018,0.019
111,Public,2023-04-06 10:00:00+07:00,467.424,577.729,615.34,573.675,483.048,335.934,189.576,70.72,8.944,0.042,0.024,0.016,0.012,0.019,0.021,0.022,0.018,0.022,0.016,0.024,11.458,76.095,185.99,315.165
112,Public,2023-09-11 04:00:00+07:00,0.022,0.018,24.241,159.953,301.997,374.157,477.947,578.602,576.874,515.577,422.855,222.574,159.314,115.342,11.869,0.044,0.043,0.037,0.035,0.028,0.025,0.026,0.025,0.024
113,Public,2023-12-18 22:00:00+07:00,0.012,0.014,0.021,0.007,0.007,0.007,0.003,0.002,1.76,53.486,198.416,370.835,506.74,597.414,505.368,503.909,429.414,262.226,105.272,19.177,0.145,0.026,0.023,0.025
114,Public,2023-12-04 05:00:00+07:00,0.005,3.597,68.738,218.881,404.046,538.253,612.253,617.811,561.198,431.967,252.147,96.43,13.791,0.068,0.034,0.033,0.03,0.026,0.02,0.016,0.01,0.009,0.007,0.005
115,Public,2023-10-30 15:00:00+07:00,198.041,15.043,2.182,0.025,0.01,0.011,0.009,0.014,0.011,0.011,0.012,0.013,0.01,0.012,0.011,6.111,79.713,283.357,263.821,513.625,375.839,226.672,557.32,251.666
