,Usage,actual_0,actual_1,actual_2,actual_3,actual_4,actual_5,actual_6,actual_7,actual_8,actual_9,actual_10,actual_11,actual_12,actual_13,actual_14,actual_15,actual_16,actual_17,actual_18,actual_19,actual_20,actual_21,actual_22,actual_23
10,Public,5638.378,7068.492,7154.226,15820.462,17920.666,14730.052,2703.628,2520.651,3255.665,5735.405,4099.912,2863.074,2688.235,2346.291,2187.157,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477
11,Public,7068.492,7154.226,15820.462,17920.666,14730.052,2703.628,2520.651,3255.665,5735.405,4099.912,2863.074,2688.235,2346.291,2187.157,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702
12,Public,7154.226,15820.462,17920.666,14730.052,2703.628,2520.651,3255.665,5735.405,4099.912,2863.074,2688.235,2346.291,2187.157,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976
13,Public,15820.462,17920.666,14730.052,2703.628,2520.651,3255.665,5735.405,4099.912,2863.074,2688.235,2346.291,2187.157,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996
14,Public,17920.666,14730.052,2703.628,2520.651,3255.665,5735.405,4099.912,2863.074,2688.235,2346.291,2187.157,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055
15,Public,14730.052,2703.628,2520.651,3255.665,5735.405,4099.912,2863.074,2688.235,2346.291,2187.157,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152
16,Public,2703.628,2520.651,3255.665,5735.405,4099.912,2863.074,2688.235,2346.291,2187.157,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118
17,Public,2520.651,3255.665,5735.405,4099.912,2863.074,2688.235,2346.291,2187.157,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319
18,Public,3255.665,5735.405,4099.912,2863.074,2688.235,2346.291,2187.157,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636
19,Public,5735.405,4099.912,2863.074,2688.235,2346.291,2187.157,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398
20,Public,4099.912,2863.074,2688.235,2346.291,2187.157,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85
21,Public,2863.074,2688.235,2346.291,2187.157,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685
22,Public,2688.235,2346.291,2187.157,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727
23,Public,2346.291,2187.157,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662
24,Public,2187.157,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054
25,Public,2252.724,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748
26,Public,2180.355,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767
27,Public,2369.275,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879
28,Public,2542.75,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487
29,Public,2244.664,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908
30,Public,2226.225,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271
31,Public,2532.044,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081
32,Public,5325.641,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488
33,Public,3938.477,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345
34,Public,10479.702,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89
35,Public,23375.976,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534
36,Public,16499.996,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164
37,Public,24188.055,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98
38,Public,26322.152,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386
39,Public,19386.118,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559
40,Public,5349.319,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107
41,Public,2487.636,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368
42,Public,3088.398,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8
43,Public,3013.85,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16
44,Public,3112.685,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42
45,Public,3010.727,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415
46,Public,2764.662,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155
47,Public,2770.054,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043
48,Public,2365.748,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072
49,Public,2332.767,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949
50,Public,2224.879,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599
51,Public,2272.487,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928
52,Public,2243.908,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161
53,Public,2294.271,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744
54,Public,2652.081,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228
55,Public,2318.488,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51
56,Public,4277.345,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103
57,Public,12230.89,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002
58,Public,18958.534,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341
59,Public,18150.164,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926
60,Public,9944.98,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616
61,Public,21385.386,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825
62,Public,22627.559,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146
63,Public,9570.107,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011
64,Public,3332.368,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989
65,Public,2693.8,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785
66,Public,3234.16,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144
67,Public,3340.42,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163
68,Public,3076.415,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477
69,Public,2806.155,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757
70,Public,2857.043,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028
71,Public,2580.072,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757
72,Public,2322.949,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801
73,Public,2233.599,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027
74,Public,2316.928,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758
75,Public,2246.161,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517
76,Public,2285.744,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072
77,Public,2411.228,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225
78,Public,2655.51,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71
79,Public,2520.103,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367
80,Public,5029.002,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526
81,Public,16082.341,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215
82,Public,19618.926,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473
83,Public,29081.616,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735
84,Public,19861.825,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048
85,Public,24893.146,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476
86,Public,21885.011,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304
87,Public,10791.989,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304
88,Public,3039.785,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681
89,Public,2766.144,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487
90,Public,3240.163,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386
91,Public,3413.477,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645
92,Public,3319.757,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852
93,Public,3189.028,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012
94,Public,2807.757,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469
95,Public,2742.801,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469,2483.69
96,Public,2534.027,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469,2483.69,2466.248
97,Public,2463.758,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469,2483.69,2466.248,2262.046
98,Public,2361.517,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469,2483.69,2466.248,2262.046,2246.15
99,Public,2276.072,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469,2483.69,2466.248,2262.046,2246.15,2137.219
100,Public,2283.225,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469,2483.69,2466.248,2262.046,2246.15,2137.219,2204.374
101,Public,2260.71,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469,2483.69,2466.248,2262.046,2246.15,2137.219,2204.374,2149.259
102,Public,2216.367,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469,2483.69,2466.248,2262.046,2246.15,2137.219,2204.374,2149.259,2069.298
103,Public,3916.526,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469,2483.69,2466.248,2262.046,2246.15,2137.219,2204.374,2149.259,2069.298,2143.262
104,Public,4453.215,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469,2483.69,2466.248,2262.046,2246.15,2137.219,2204.374,2149.259,2069.298,2143.262,2673.702
105,Public,11589.473,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469,2483.69,2466.248,2262.046,2246.15,2137.219,2204.374,2149.259,2069.298,2143.262,2673.702,3488.205
106,Public,18817.735,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469,2483.69,2466.248,2262.046,2246.15,2137.219,2204.374,2149.259,2069.298,2143.262,2673.702,3488.205,6110.038
107,Public,18591.048,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469,2483.69,2466.248,2262.046,2246.15,2137.219,2204.374,2149.259,2069.298,2143.262,2673.702,3488.205,6110.038,10871.443
108,Public,11817.476,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469,2483.69,2466.248,2262.046,2246.15,2137.219,2204.374,2149.259,2069.298,2143.262,2673.702,3488.205,6110.038,10871.443,16092.367
109,Public,17721.304,22120.304,18955.681,8407.487,2886.386,3152.645,3458.852,2646.012,2686.469,2483.69,2466.248,2262.046,2246.15,2137.219,2204.374,2149.259,2069.298,2143.262,2673.702,3488.205,6110.038,10871.443,16092.367,5960.822
